"",BBAI3.Q.DE.N.V.LE.F51M.EV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.EV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Primary insurance companies / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:06,
2005-10,28689,
2006-01,27836,
2006-04,25225,
2006-07,27844,
2006-10,28359,
2007-01,30185,
2007-04,33223,
2007-07,34223,
2007-10,32606,
2008-01,29607,
2008-04,27254,
2008-07,24459,
2008-10,22243,
2009-01,18214,
2009-04,18002,
2009-07,21582,
2009-10,21858,
2010-01,24281,
2010-04,21428,
2010-07,20888,
2010-10,22654,
2011-01,25034,
2011-04,23546,
2011-07,18446,
2011-10,18908,
2012-01,23017,
2012-04,20934,
2012-07,23877,
2012-10,26812,
2013-01,29721,
2013-04,30199,
2013-07,30887,
2013-10,34383,
2014-01,33886,
2014-04,33648,
2014-07,34474,
