"",BBAI3.Q.DE.N.V.LE.F42A.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F42A.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Loans over 1 year and up to 5 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:36,
2005-10,15778,
2006-01,16213,
2006-04,16461,
2006-07,16726,
2006-10,16757,
2007-01,17150,
2007-04,17474,
2007-07,17869,
2007-10,17834,
2008-01,17553,
2008-04,17740,
2008-07,17739,
2008-10,17641,
2009-01,18353,
2009-04,18843,
2009-07,19017,
2009-10,19288,
2010-01,19675,
2010-04,19787,
2010-07,19834,
2010-10,19863,
2011-01,19967,
2011-04,20055,
2011-07,20151,
2011-10,20088,
2012-01,20363,
2012-04,20287,
2012-07,20354,
2012-10,20409,
2013-01,20506,
2013-04,20494,
2013-07,20809,
2013-10,20864,
2014-01,21224,
2014-04,21493,
2014-07,21524,
