"",BBSF2.M.1.S.I0122.GEL01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.GEL01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
1988-05,-,Nothing exists
1988-06,-,Nothing exists
1988-07,-,Nothing exists
1988-08,-,Nothing exists
1988-09,-,Nothing exists
1988-10,-,Nothing exists
1988-11,-,Nothing exists
1988-12,-,Nothing exists
1989-01,-,Nothing exists
1989-02,-,Nothing exists
1989-03,-,Nothing exists
1989-04,-,Nothing exists
1989-05,-,Nothing exists
1989-06,-,Nothing exists
1989-07,-,Nothing exists
1989-08,-,Nothing exists
1989-09,-,Nothing exists
1989-10,-,Nothing exists
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,-,Nothing exists
1994-10,-,Nothing exists
1994-11,-,Nothing exists
1994-12,-,Nothing exists
1995-01,-,Nothing exists
1995-02,-,Nothing exists
1995-03,-,Nothing exists
1995-04,-,Nothing exists
1995-05,-,Nothing exists
1995-06,-,Nothing exists
1995-07,-,Nothing exists
1995-08,-,Nothing exists
1995-09,-,Nothing exists
1995-10,-,Nothing exists
1995-11,-,Nothing exists
1995-12,-,Nothing exists
1996-01,-,Nothing exists
1996-02,-,Nothing exists
1996-03,-,Nothing exists
1996-04,-,Nothing exists
1996-05,-,Nothing exists
1996-06,-,Nothing exists
1996-07,-,Nothing exists
1996-08,-,Nothing exists
1996-09,-,Nothing exists
1996-10,-,Nothing exists
1996-11,-,Nothing exists
1996-12,-,Nothing exists
1997-01,-,Nothing exists
1997-02,-,Nothing exists
1997-03,-,Nothing exists
1997-04,-,Nothing exists
1997-05,-,Nothing exists
1997-06,-,Nothing exists
1997-07,-,Nothing exists
1997-08,-,Nothing exists
1997-09,-,Nothing exists
1997-10,-,Nothing exists
1997-11,-,Nothing exists
1997-12,-,Nothing exists
1998-01,-,Nothing exists
1998-02,-,Nothing exists
1998-03,-,Nothing exists
1998-04,-,Nothing exists
1998-05,-,Nothing exists
1998-06,-,Nothing exists
1998-07,-,Nothing exists
1998-08,-,Nothing exists
1998-09,-,Nothing exists
1998-10,-,Nothing exists
1998-11,-,Nothing exists
1998-12,-,Nothing exists
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,-,Nothing exists
1999-12,-,Nothing exists
2000-01,-,Nothing exists
2000-02,-,Nothing exists
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,-,Nothing exists
2000-07,-,Nothing exists
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,-,Nothing exists
2000-11,-,Nothing exists
2000-12,-,Nothing exists
2001-01,500,
2001-02,-,Nothing exists
2001-03,-,Nothing exists
2001-04,-,Nothing exists
2001-05,-,Nothing exists
2001-06,-,Nothing exists
2001-07,-,Nothing exists
2001-08,-,Nothing exists
2001-09,-,Nothing exists
2001-10,-,Nothing exists
2001-11,-,Nothing exists
2001-12,-,Nothing exists
2002-01,300,
2002-02,-,Nothing exists
2002-03,-,Nothing exists
2002-04,-,Nothing exists
2002-05,-,Nothing exists
2002-06,-,Nothing exists
2002-07,-,Nothing exists
2002-08,-,Nothing exists
2002-09,400,
2002-10,-,Nothing exists
2002-11,-,Nothing exists
2002-12,-,Nothing exists
2003-01,8,
2003-02,101,
2003-03,-,Nothing exists
2003-04,-,Nothing exists
2003-05,-,Nothing exists
2003-06,8,
2003-07,-,Nothing exists
2003-08,180,
2003-09,-,Nothing exists
2003-10,165,
2003-11,-45,
2003-12,5,
2004-01,0,
2004-02,165,
2004-03,-,Nothing exists
2004-04,-1,
2004-05,394,
2004-06,17,
2004-07,0,
2004-08,-,Nothing exists
2004-09,17,
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-186,
2005-01,-52,
2005-02,-40,
2005-03,250,
2005-04,-250,
2005-05,-20,
2005-06,204,
2005-07,100,
2005-08,8,
2005-09,108,
2005-10,0,
2005-11,-18,
2005-12,-438,
2006-01,-40,
2006-02,-40,
2006-03,3,
2006-04,-,Nothing exists
2006-05,80,
2006-06,13,
2006-07,0,
2006-08,2,
2006-09,-376,
2006-10,-,Nothing exists
2006-11,-,Nothing exists
2006-12,-,Nothing exists
2007-01,-,Nothing exists
2007-02,-,Nothing exists
2007-03,-,Nothing exists
2007-04,1200,
2007-05,-,Nothing exists
2007-06,49,
2007-07,15,
2007-08,-,Nothing exists
2007-09,-,Nothing exists
2007-10,-,Nothing exists
2007-11,-,Nothing exists
2007-12,-,Nothing exists
2008-01,-,Nothing exists
2008-02,-,Nothing exists
2008-03,-,Nothing exists
2008-04,-,Nothing exists
2008-05,2,
2008-06,18,
2008-07,-,Nothing exists
2008-08,-,Nothing exists
2008-09,-,Nothing exists
2008-10,-,Nothing exists
2008-11,-,Nothing exists
2008-12,-,Nothing exists
2009-01,-102,
2009-02,-,Nothing exists
2009-03,-,Nothing exists
2009-04,-153,
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,-,Nothing exists
2009-08,-186,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-260,
2010-06,-,Nothing exists
2010-07,-260,
2010-08,-,Nothing exists
2010-09,-,Nothing exists
2010-10,-199,
2010-11,-322,
2010-12,-,Nothing exists
2011-01,-,Nothing exists
2011-02,-5,
2011-03,-,Nothing exists
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,-,Nothing exists
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,-,Nothing exists
2011-10,-,Nothing exists
2011-11,-,Nothing exists
2011-12,-,Nothing exists
2012-01,-,Nothing exists
2012-02,-,Nothing exists
2012-03,-,Nothing exists
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,-,Nothing exists
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,-,Nothing exists
2012-10,396,
2012-11,-,Nothing exists
2012-12,-,Nothing exists
2013-01,199,
2013-02,-,Nothing exists
2013-03,-,Nothing exists
2013-04,-,Nothing exists
2013-05,-98,
2013-06,-182,
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,-227,
2013-11,-,Nothing exists
2013-12,-529,
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,-12,
2014-04,-,Nothing exists
2014-05,-4,
2014-06,-,Nothing exists
2014-07,-,Nothing exists
2014-08,-4,
2014-09,-,Nothing exists
2014-10,-,Nothing exists
2014-11,-,Nothing exists
