"",BBK01.CEFX5N,BBK01.CEFX5N_FLAGS
"",Non-life insurance technical reserves  debtor: Total                                                          creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:19,
1999-01,31.5,
1999-04,31.9,
1999-07,32.4,
1999-10,31.2,
2000-01,32.1,
2000-04,32.5,
2000-07,32.9,
2000-10,35.8,
2001-01,36.9,
2001-04,37.3,
2001-07,38.3,
2001-10,42.7,
2002-01,44.7,
2002-04,45.2,
2002-07,45.9,
2002-10,46.9,
2003-01,47.6,
2003-04,48.3,
2003-07,48.7,
2003-10,56.7,
2004-01,57.6,
2004-04,57.8,
2004-07,58.3,
2004-10,61.7,
2005-01,63.1,
2005-04,63.4,
2005-07,64.6,
2005-10,78.3,
2006-01,70.5,
2006-04,68.2,
2006-07,65.9,
2006-10,69.6,
2007-01,67.2,
2007-04,64.9,
2007-07,62.5,
2007-10,61.9,
2008-01,62.1,
2008-04,62.2,
2008-07,62.2,
2008-10,62.3,
2009-01,62.8,
2009-04,63.3,
2009-07,63.5,
2009-10,63.4,
2010-01,64.6,
2010-04,65.8,
2010-07,67.0,
2010-10,69.0,
2011-01,70.1,
2011-04,71.5,
2011-07,72.7,
2011-10,75.3,
2012-01,75.7,
2012-04,76.0,
2012-07,76.3,
2012-10,76.7,
2013-01,77.7,
2013-04,77.0,
2013-07,76.0,
2013-10,74.8,
2014-01,72.4,
2014-04,71.9,
2014-07,72.1,
