"",BBSF2.M.1.S.I1252.TOT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.TOT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:36,
2009-09,1429,
2009-10,-2152,
2009-11,957,
2009-12,1860,
2010-01,5133,
2010-02,1306,
2010-03,1858,
2010-04,3222,
2010-05,1070,
2010-06,1531,
2010-07,858,
2010-08,1252,
2010-09,2760,
2010-10,2273,
2010-11,1781,
2010-12,1476,
2011-01,2403,
2011-02,1828,
2011-03,517,
2011-04,1935,
2011-05,-150,
2011-06,687,
2011-07,1759,
2011-08,292,
2011-09,-1808,
2011-10,1303,
2011-11,1757,
2011-12,2231,
2012-01,1653,
2012-02,4163,
2012-03,2092,
2012-04,590,
2012-05,1081,
2012-06,2302,
2012-07,9390,
2012-08,1665,
2012-09,877,
2012-10,2891,
2012-11,1523,
2012-12,1114,
2013-01,5196,
2013-02,2919,
2013-03,3440,
2013-04,1800,
2013-05,1684,
2013-06,1471,
2013-07,1577,
2013-08,746,
2013-09,940,
2013-10,1013,
2013-11,5116,
2013-12,180,
2014-01,2016,
2014-02,2373,
2014-03,176,
2014-04,1634,
2014-05,2166,
2014-06,1316,
2014-07,3029,
2014-08,1373,
2014-09,1802,
2014-10,2409,
2014-11,4366,
