"",BBSF2.M.1.S.I1252.TOT01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.TOT01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Number / Other insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:11,
2009-09,503,
2009-10,497,
2009-11,479,
2009-12,472,
2010-01,475,
2010-02,471,
2010-03,469,
2010-04,466,
2010-05,457,
2010-06,445,
2010-07,439,
2010-08,440,
2010-09,456,
2010-10,458,
2010-11,457,
2010-12,457,
2011-01,458,
2011-02,460,
2011-03,459,
2011-04,463,
2011-05,461,
2011-06,461,
2011-07,462,
2011-08,460,
2011-09,460,
2011-10,466,
2011-11,464,
2011-12,459,
2012-01,455,
2012-02,455,
2012-03,457,
2012-04,456,
2012-05,453,
2012-06,452,
2012-07,455,
2012-08,454,
2012-09,456,
2012-10,465,
2012-11,457,
2012-12,447,
2013-01,447,
2013-02,446,
2013-03,454,
2013-04,451,
2013-05,445,
2013-06,446,
2013-07,458,
2013-08,457,
2013-09,457,
2013-10,453,
2013-11,448,
2013-12,445,
2014-01,439,
2014-02,443,
2014-03,435,
2014-04,435,
2014-05,437,
2014-06,440,
2014-07,429,
2014-08,429,
2014-09,430,
2014-10,431,
2014-11,431,
