"",BBAI3.Q.DE.N.V.LE.F52M.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52M.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Money market fund shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:29,
2005-10,126,
2006-01,138,
2006-04,105,
2006-07,96,
2006-10,114,
2007-01,91,
2007-04,171,
2007-07,656,
2007-10,735,
2008-01,732,
2008-04,736,
2008-07,782,
2008-10,550,
2009-01,371,
2009-04,370,
2009-07,338,
2009-10,382,
2010-01,582,
2010-04,300,
2010-07,289,
2010-10,238,
2011-01,264,
2011-04,242,
2011-07,306,
2011-10,281,
2012-01,220,
2012-04,227,
2012-07,183,
2012-10,1145,
2013-01,214,
2013-04,221,
2013-07,256,
2013-10,387,
2014-01,477,
2014-04,471,
2014-07,478,
