"",BBAI3.Q.DE.N.V.LE.F611.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F611.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Net equity of households in life insurance reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:56,
2005-10,627749,
2006-01,636317,
2006-04,644221,
2006-07,651001,
2006-10,656540,
2007-01,666540,
2007-04,673881,
2007-07,681144,
2007-10,683969,
2008-01,688521,
2008-04,691457,
2008-07,692900,
2008-10,683318,
2009-01,693611,
2009-04,704038,
2009-07,713673,
2009-10,718537,
2010-01,735814,
2010-04,746483,
2010-07,751410,
2010-10,755274,
2011-01,763854,
2011-04,767271,
2011-07,769991,
2011-10,764835,
2012-01,776057,
2012-04,783600,
2012-07,792983,
2012-10,799398,
2013-01,815513,
2013-04,821659,
2013-07,829010,
2013-10,835048,
2014-01,850668,
2014-04,858893,
2014-07,865896,
