"",BBK01.BQ2903,BBK01.BQ2903_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - financial transactions (revenue)",
unit,euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:02,
1999-01,6039,
1999-04,3079,
1999-07,3398,
1999-10,10728,
2000-01,3644,
2000-04,1434,
2000-07,2224,
2000-10,4883,
2001-01,4065,
2001-04,3136,
2001-07,7953,
2001-10,7537,
2002-01,3607,
2002-04,3326,
2002-07,7604,
2002-10,5177,
2003-01,2824,
2003-04,3034,
2003-07,3358,
2003-10,11897,
2004-01,1912,
2004-04,3164,
2004-07,7540,
2004-10,10552,
2005-01,1409,
2005-04,7711,
2005-07,13662,
2005-10,8342,
2006-01,3762,
2006-04,4136,
2006-07,5851,Provisional value
2006-10,4087,Provisional value
2007-01,2824,Provisional value
2007-04,3049,Provisional value
2007-07,3648,Provisional value
2007-10,7905,Provisional value
2008-01,3043,Provisional value
2008-04,2126,Provisional value
2008-07,1274,Provisional value
2008-10,6709,Provisional value
2009-01,1716,Provisional value
2009-04,3310,Provisional value
2009-07,2086,Provisional value
2009-10,1859,Provisional value
2010-01,2553,Provisional value
2010-04,3697,Provisional value
2010-07,3049,Provisional value
2010-10,3248,Provisional value
2011-01,4106,Provisional value
2011-04,18599,Provisional value
2011-07,2685,Provisional value
2011-10,5001,Provisional value
2012-01,2518,Provisional value
2012-04,2682,Provisional value
2012-07,4305,Provisional value
2012-10,4923,Provisional value
2013-01,2627,Provisional value
2013-04,4836,Provisional value
2013-07,2355,Provisional value
2013-10,4634,Provisional value
2014-01,1957,Provisional value
2014-04,2216,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
"",Methodology: Sale of participating interests and loan repayments received,
