"",BBK01.CELN0K,BBK01.CELN0K_FLAGS
"",Transferable deposits                                                     debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:50,
1999-01,0.5,
1999-04,0.0,
1999-07,-0.2,
1999-10,1.9,
2000-01,-0.6,
2000-04,-0.7,
2000-07,-1.3,
2000-10,3.1,
2001-01,-1.1,
2001-04,0.6,
2001-07,0.3,
2001-10,2.3,
2002-01,-1.4,
2002-04,0.8,
2002-07,1.7,
2002-10,2.1,
2003-01,2.3,
2003-04,0.2,
2003-07,-3.0,
2003-10,-0.4,
2004-01,2.3,
2004-04,-3.2,
2004-07,2.5,
2004-10,-3.8,
2005-01,3.1,
2005-04,-0.8,
2005-07,-1.3,
2005-10,-0.2,
2006-01,1.0,
2006-04,-0.3,
2006-07,-0.9,
2006-10,2.5,
2007-01,-1.8,
2007-04,0.7,
2007-07,-1.8,
2007-10,1.2,
2008-01,0.8,
2008-04,-0.4,
2008-07,-0.5,
2008-10,2.9,
2009-01,2.3,
2009-04,-2.4,
2009-07,0.8,
2009-10,0.6,
2010-01,-1.7,
2010-04,0.4,
2010-07,-1.3,
2010-10,0.2,
2011-01,1.3,
2011-04,1.4,
2011-07,0.9,
2011-10,0.8,
2012-01,-0.2,
2012-04,1.2,
2012-07,-1.3,
2012-10,1.6,
2013-01,2.2,
2013-04,-2.6,
2013-07,0.2,
2013-10,-2.4,
2014-01,5.3,
2014-04,0.4,
2014-07,-2.3,
