"",BBSF2.M.1.S.I1251.TOT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.TOT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net sales receipts / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:36,
2009-09,190,
2009-10,5308,
2009-11,244,
2009-12,360,
2010-01,317,
2010-02,169,
2010-03,581,
2010-04,578,
2010-05,587,
2010-06,605,
2010-07,-595,
2010-08,847,
2010-09,398,
2010-10,909,
2010-11,334,
2010-12,1790,
2011-01,1003,
2011-02,363,
2011-03,1232,
2011-04,71,
2011-05,272,
2011-06,470,
2011-07,87,
2011-08,111,
2011-09,729,
2011-10,15,
2011-11,2100,
2011-12,1399,
2012-01,-3713,
2012-02,5318,
2012-03,1110,
2012-04,15,
2012-05,104,
2012-06,713,
2012-07,44,
2012-08,190,
2012-09,-61,
2012-10,448,
2012-11,263,
2012-12,1375,
2013-01,155,
2013-02,753,
2013-03,1175,
2013-04,312,
2013-05,1099,
2013-06,304,
2013-07,832,
2013-08,375,
2013-09,883,
2013-10,851,
2013-11,204,
2013-12,1911,
2014-01,-434,
2014-02,478,
2014-03,677,
2014-04,9,
2014-05,-4,
2014-06,71,
2014-07,1353,
2014-08,986,
2014-09,-62,
2014-10,533,
2014-11,966,
