"",BBAI3.Q.DE.N.V.LE.F21.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F21.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Currency / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:22,
2005-10,184,
2006-01,185,
2006-04,186,
2006-07,187,
2006-10,189,
2007-01,185,
2007-04,181,
2007-07,178,
2007-10,174,
2008-01,170,
2008-04,166,
2008-07,162,
2008-10,158,
2009-01,107,
2009-04,73,
2009-07,52,
2009-10,42,
2010-01,38,
2010-04,35,
2010-07,34,
2010-10,143,
2011-01,164,
2011-04,191,
2011-07,223,
2011-10,263,
2012-01,268,
2012-04,265,
2012-07,266,
2012-10,268,
2013-01,269,
2013-04,267,
2013-07,267,
2013-10,270,
2014-01,449,
2014-04,451,
2014-07,451,
