"",BBAI3.Q.DE.N.V.LE.F7.EV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.EV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Primary insurance companies / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:09,
2005-10,66583,
2006-01,66153,
2006-04,64958,
2006-07,63958,
2006-10,62215,
2007-01,62183,
2007-04,61097,
2007-07,60239,
2007-10,59062,
2008-01,58851,
2008-04,57806,
2008-07,56723,
2008-10,54887,
2009-01,55214,
2009-04,54664,
2009-07,54122,
2009-10,53797,
2010-01,54470,
2010-04,53842,
2010-07,52866,
2010-10,52277,
2011-01,52686,
2011-04,52237,
2011-07,51863,
2011-10,51225,
2012-01,51312,
2012-04,50714,
2012-07,50233,
2012-10,49740,
2013-01,50394,
2013-04,50057,
2013-07,49670,
2013-10,49458,
2014-01,50709,
2014-04,50777,
2014-07,50877,
