"",BBQFS.Q.DE.MABA.LEV_RAT._X.0000,BBQFS.Q.DE.MABA.LEV_RAT._X.0000_FLAGS
"",Leverage ratio of 12 major German banks with an international focus (FSR 2014),
unit,,
unit multiplier,one,
last update,2015-01-07 17:09:48,
1999-01,43.16,
1999-04,40.96,
1999-07,40.48,
1999-10,39.44,
2000-01,42.14,
2000-04,40.94,
2000-07,41.61,
2000-10,39.98,
2001-01,39.45,
2001-04,40.25,
2001-07,41.37,
2001-10,40.28,
2002-01,41.48,
2002-04,38.77,
2002-07,38.03,
2002-10,40.83,
2003-01,40.84,
2003-04,40.74,
2003-07,39.72,
2003-10,38.14,
2004-01,41.02,
2004-04,40.58,
2004-07,41.75,
2004-10,42.51,
2005-01,43.73,
2005-04,44.21,
2005-07,43.17,
2005-10,47.40,
2006-01,44.38,
2006-04,43.92,
2006-07,43.42,
2006-10,43.87,
2007-01,40.23,
2007-04,40.86,
2007-07,40.12,
2007-10,40.83,
2008-01,42.62,
2008-04,39.81,
2008-07,38.11,
2008-10,38.44,
2009-01,37.06,
2009-04,32.51,
2009-07,31.36,
2009-10,30.31,
2010-01,31.40,
2010-04,34.47,
2010-07,34.55,
2010-10,34.80,
2011-01,31.35,
2011-04,31.23,
2011-07,34.79,
2011-10,33.77,
2012-01,32.02,
2012-04,33.08,
2012-07,32.11,
2012-10,30.66,
2013-01,30.14,
2013-04,28.24,
2013-07,27.96,
2013-10,27.26,
2014-01,28.53,
2014-04,26.67,
"","Methodology: Total assets as a multiple of tier 1 capital for 12 major German banks with an international focus that did not transfer postions to resolution agencies in the observation period. Revised valuation of tier 1 capital and risk-weighted assets apply as of 2007, 2011 and 2014 due to EU Capital Requirements Directives CRD II, CRD III and CRD IV respectively. 2010 transition period pursuant to the Act Modernising Accounting Law (Bilanzrechtsmodernisierungsgesetz).",
