"",BBFN1.M.DE.N.1.L.US.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.US.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1979-03,.,Value available later
1979-04,.,Value available later
1979-05,.,Value available later
1979-06,.,Value available later
1979-07,.,Value available later
1979-08,.,Value available later
1979-09,.,Value available later
1979-10,.,Value available later
1979-11,.,Value available later
1979-12,2.162,
1980-01,.,Value available later
1980-02,.,Value available later
1980-03,.,Value available later
1980-04,.,Value available later
1980-05,.,Value available later
1980-06,.,Value available later
1980-07,.,Value available later
1980-08,.,Value available later
1980-09,.,Value available later
1980-10,.,Value available later
1980-11,.,Value available later
1980-12,2.557,
1981-01,.,Value available later
1981-02,.,Value available later
1981-03,.,Value available later
1981-04,.,Value available later
1981-05,.,Value available later
1981-06,.,Value available later
1981-07,.,Value available later
1981-08,.,Value available later
1981-09,.,Value available later
1981-10,.,Value available later
1981-11,.,Value available later
1981-12,3.429,
1982-01,.,Value available later
1982-02,.,Value available later
1982-03,.,Value available later
1982-04,.,Value available later
1982-05,.,Value available later
1982-06,.,Value available later
1982-07,.,Value available later
1982-08,.,Value available later
1982-09,3.898,
1982-10,3.913,
1982-11,4.031,
1982-12,3.612,
1983-01,3.673,
1983-02,3.779,
1983-03,3.662,
1983-04,3.713,
1983-05,3.629,
1983-06,3.688,
1983-07,4.050,
1983-08,4.239,
1983-09,4.046,
1983-10,4.008,
1983-11,4.266,
1983-12,4.363,
1984-01,4.116,
1984-02,4.042,
1984-03,3.997,
1984-04,4.017,
1984-05,4.147,
1984-06,4.388,
1984-07,4.259,
1984-08,4.387,
1984-09,4.524,
1984-10,4.099,
1984-11,4.066,
1984-12,4.117,
1985-01,4.092,
1985-02,4.410,
1985-03,4.389,
1985-04,4.482,
1985-05,4.463,
1985-06,4.794,
1985-07,4.601,
1985-08,4.900,
1985-09,4.290,
1985-10,4.194,
1985-11,4.548,
1985-12,4.490,
1986-01,4.209,
1986-02,4.270,
1986-03,4.570,
1986-04,4.638,
1986-05,4.643,
1986-06,4.603,
1986-07,4.546,
1986-08,4.581,
1986-09,3.949,
1986-10,4.925,
1986-11,4.916,
1986-12,4.492,
1987-01,4.406,
1987-02,4.273,
1987-03,4.269,
1987-04,3.994,
1987-05,4.083,
1987-06,4.182,
1987-07,4.137,
1987-08,4.259,
1987-09,3.913,
1987-10,3.927,
1987-11,3.901,
1987-12,3.823,
1988-01,4.039,
1988-02,3.821,
1988-03,3.899,
1988-04,3.950,
1988-05,4.001,
1988-06,4.440,
1988-07,4.587,
1988-08,4.516,
1988-09,4.711,
1988-10,4.815,
1988-11,4.821,
1988-12,4.612,
1989-01,4.889,
1989-02,5.061,
1989-03,5.137,
1989-04,5.841,
1989-05,6.131,
1989-06,6.602,
1989-07,6.445,
1989-08,6.785,
1989-09,6.892,
1989-10,6.840,
1989-11,6.714,
1989-12,6.904,
1990-01,6.913,
1990-02,6.847,
1990-03,6.790,
1990-04,7.110,
1990-05,6.932,
1990-06,5.835,
1990-07,5.439,
1990-08,5.500,
1990-09,5.668,
1990-10,5.860,
1990-11,6.024,
1990-12,6.617,
1991-01,6.629,
1991-02,6.553,
1991-03,6.575,
1991-04,6.742,
1991-05,7.152,
1991-06,8.044,
1991-07,8.618,
1991-08,8.527,
1991-09,7.848,
1991-10,8.207,
1991-11,8.280,
1991-12,8.757,
1992-01,7.847,
1992-02,7.762,
1992-03,7.636,
1992-04,7.982,
1992-05,7.753,
1992-06,7.862,
1992-07,7.766,
1992-08,8.174,
1992-09,7.918,
1992-10,8.475,
1992-11,8.600,
1992-12,8.363,
1993-01,8.559,
1993-02,8.768,
1993-03,9.304,
1993-04,9.527,
1993-05,9.869,
1993-06,9.560,
1993-07,9.536,
1993-08,9.562,
1993-09,9.455,
1993-10,9.772,
1993-11,9.505,
1993-12,9.354,
1994-01,9.312,
1994-02,9.327,
1994-03,9.498,
1994-04,9.538,
1994-05,10.011,
1994-06,10.298,
1994-07,10.061,
1994-08,9.637,
1994-09,9.342,
1994-10,9.533,
1994-11,9.608,
1994-12,9.562,
1995-01,9.498,
1995-02,9.835,
1995-03,9.433,
1995-04,11.438,
1995-05,11.211,
1995-06,11.887,
1995-07,11.508,
1995-08,11.232,
1995-09,11.092,
1995-10,12.125,
1995-11,12.220,
1995-12,11.655,
1996-01,11.872,
1996-02,12.784,
1996-03,12.843,
1996-04,14.853,
1996-05,14.762,
1996-06,13.751,
1996-07,12.504,
1996-08,12.799,
1996-09,12.966,
1996-10,13.956,
1996-11,13.863,
1996-12,16.168,
1997-01,18.184,
1997-02,19.224,
1997-03,20.121,
1997-04,21.261,
1997-05,20.498,
1997-06,20.724,
1997-07,19.263,
1997-08,16.641,
1997-09,18.599,
1997-10,12.748,
1997-11,15.597,
1997-12,16.073,
1998-01,16.271,
1998-02,18.587,
1998-03,23.311,
1998-04,21.829,
1998-05,23.980,
1998-06,21.744,
1998-07,19.341,
1998-08,15.844,
1998-09,19.880,
1998-10,13.279,
1998-11,17.609,
1998-12,20.850,
1999-01,23.756,
1999-02,25.959,
1999-03,29.622,
1999-04,33.943,
1999-05,37.021,
1999-06,38.105,
1999-07,30.652,
1999-08,28.612,
1999-09,27.760,
1999-10,28.336,
1999-11,29.873,
1999-12,31.334,
2000-01,30.973,
2000-02,32.881,
2000-03,42.698,
2000-04,45.667,
2000-05,52.892,
2000-06,45.637,
2000-07,39.139,
2000-08,36.764,
2000-09,34.091,
2000-10,26.857,
2000-11,35.646,
2000-12,36.964,
2001-01,36.717,
2001-02,38.598,
2001-03,44.858,
2001-04,47.294,
2001-05,55.978,
2001-06,52.630,
2001-07,48.317,
2001-08,44.731,
2001-09,50.596,
2001-10,51.042,
2001-11,45.459,
2001-12,46.512,
2002-01,46.101,
2002-02,43.082,
2002-03,37.308,
2002-04,39.735,
2002-05,40.558,
2002-06,39.595,
2002-07,37.568,
2002-08,37.824,
2002-09,37.480,
2002-10,38.123,
2002-11,42.383,
2002-12,41.213,
2003-01,40.769,
2003-02,40.891,
2003-03,41.770,
2003-04,41.636,
2003-05,41.380,
2003-06,41.137,
2003-07,42.045,
2003-08,40.719,
2003-09,45.339,
2003-10,41.784,
2003-11,41.878,
2003-12,34.318,
2004-01,35.991,
2004-02,36.025,
2004-03,38.432,
2004-04,36.732,
2004-05,36.676,
2004-06,37.710,
2004-07,37.134,
2004-08,37.095,
2004-09,37.415,
2004-10,36.974,
2004-11,37.915,
2004-12,39.630,
2005-01,38.180,
2005-02,37.859,
2005-03,39.609,
2005-04,39.546,
2005-05,40.311,
2005-06,38.897,
2005-07,38.796,
2005-08,37.137,
2005-09,41.727,
2005-10,41.439,
2005-11,40.176,
2005-12,36.922,
2006-01,36.812,
2006-02,36.593,
2006-03,36.868,
2006-04,37.019,
2006-05,38.235,
2006-06,38.755,
2006-07,38.193,
2006-08,38.191,
2006-09,30.898,
2006-10,29.842,
2006-11,31.073,
2006-12,32.030,
2007-01,34.430,
2007-02,34.320,
2007-03,31.819,
2007-04,31.434,
2007-05,30.617,
2007-06,31.744,
2007-07,32.086,
2007-08,32.971,
2007-09,32.141,
2007-10,31.901,
2007-11,33.115,
2007-12,33.068,
2008-01,31.464,
2008-02,30.892,
2008-03,30.240,
2008-04,34.471,
2008-05,31.835,
2008-06,32.078,
2008-07,30.503,
2008-08,30.813,
2008-09,32.896,
2008-10,34.016,
2008-11,33.499,
2008-12,34.019,
2009-01,36.318,
2009-02,35.926,
2009-03,33.722,
2009-04,33.513,
2009-05,32.937,
2009-06,32.250,
2009-07,32.411,
2009-08,32.729,
2009-09,33.103,
2009-10,32.962,
2009-11,33.233,
2009-12,34.550,
2010-01,34.356,
2010-02,33.718,
2010-03,35.179,
2010-04,33.303,
2010-05,34.083,
2010-06,32.122,
2010-07,32.347,
2010-08,33.148,
2010-09,31.906,
2010-10,31.191,
2010-11,34.584,
2010-12,35.297,
2011-01,36.790,
2011-02,36.423,
2011-03,35.377,
2011-04,35.395,
2011-05,35.873,
2011-06,36.595,
2011-07,36.756,
2011-08,37.142,
2011-09,38.569,
2011-10,38.588,
2011-11,40.419,
2011-12,40.693,
2012-01,42.072,
2012-02,41.381,
2012-03,40.977,
2012-04,41.191,
2012-05,44.015,
2012-06,43.399,
2012-07,44.266,
2012-08,43.976,
2012-09,44.430,
2012-10,43.492,
2012-11,43.184,
2012-12,42.423,
2013-01,41.938,
2013-02,43.694,
2013-03,43.831,
2013-04,43.970,
2013-05,44.689,
2013-06,45.923,
2013-07,40.983,
2013-08,41.684,
2013-09,43.412,
2013-10,41.925,
2013-11,41.945,
2013-12,42.318,
2014-01,41.786,
2014-02,43.644,
2014-03,43.772,
2014-04,44.498,
2014-05,43.675,
2014-06,44.452,
2014-07,43.963,
2014-08,45.135,
2014-09,45.101,
2014-10,44.601,
2014-11,44.225,
2014-12,40.553,
