"",BBK01.CELFNK,BBK01.CELFNK_FLAGS
"",long-term loans                                            debtor: Rest of the world                   creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:02,
1999-01,0.2,
1999-04,0.3,
1999-07,0.0,
1999-10,-0.1,
2000-01,-0.2,
2000-04,0.8,
2000-07,0.1,
2000-10,3.0,
2001-01,0.4,
2001-04,0.1,
2001-07,1.3,
2001-10,1.3,
2002-01,1.2,
2002-04,0.1,
2002-07,-1.4,
2002-10,2.8,
2003-01,0.0,
2003-04,0.4,
2003-07,-0.3,
2003-10,-0.4,
2004-01,0.3,
2004-04,0.2,
2004-07,0.0,
2004-10,0.1,
2005-01,0.1,
2005-04,-1.2,
2005-07,-0.8,
2005-10,-2.5,
2006-01,0.3,
2006-04,0.1,
2006-07,0.1,
2006-10,0.0,
2007-01,1.1,
2007-04,1.1,
2007-07,-0.6,
2007-10,-0.7,
2008-01,0.4,
2008-04,0.4,
2008-07,0.2,
2008-10,0.2,
2009-01,0.8,
2009-04,0.7,
2009-07,0.3,
2009-10,0.2,
2010-01,0.5,
2010-04,-0.2,
2010-07,0.0,
2010-10,0.4,
2011-01,0.1,
2011-04,0.5,
2011-07,0.1,
2011-10,0.1,
2012-01,0.7,
2012-04,1.8,
2012-07,0.2,
2012-10,-0.3,
2013-01,-0.6,
2013-04,0.4,
2013-07,-1.1,
2013-10,3.2,
2014-01,0.8,
2014-04,0.1,
2014-07,0.5,
