"",BBK01.SUD131Z,BBK01.SUD131Z_FLAGS
"",Effective interest rates of German banks / New business / Housing loans to households,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-03 10:27:04,
2003-01,5.32,
2003-02,5.13,
2003-03,5.02,
2003-04,4.98,
2003-05,4.90,
2003-06,4.76,
2003-07,4.60,
2003-08,4.71,
2003-09,4.84,
2003-10,4.81,
2003-11,4.93,
2003-12,4.98,
2004-01,4.94,
2004-02,4.86,
2004-03,4.77,
2004-04,4.66,
2004-05,4.72,
2004-06,4.75,
2004-07,4.73,
2004-08,4.80,
2004-09,4.77,
2004-10,4.66,
2004-11,4.64,
2004-12,4.53,
2005-01,4.47,
2005-02,4.41,
2005-03,4.40,
2005-04,4.41,
2005-05,4.32,
2005-06,4.20,
2005-07,4.14,
2005-08,4.12,
2005-09,4.11,
2005-10,4.12,
2005-11,4.19,
2005-12,4.27,
2006-01,4.35,
2006-02,4.34,
2006-03,4.43,
2006-04,4.53,
2006-05,4.61,
2006-06,4.68,
2006-07,4.75,
2006-08,4.80,
2006-09,4.78,
2006-10,4.75,
2006-11,4.76,
2006-12,4.73,
2007-01,4.81,
2007-02,4.91,
2007-03,4.91,
2007-04,4.93,
2007-05,4.98,
2007-06,5.13,
2007-07,5.27,
2007-08,5.31,
2007-09,5.27,
2007-10,5.24,
2007-11,5.22,
2007-12,5.22,
2008-01,5.23,
2008-02,5.09,
2008-03,5.02,
2008-04,5.07,
2008-05,5.12,
2008-06,5.24,
2008-07,5.42,
2008-08,5.48,
2008-09,5.39,
2008-10,5.37,
2008-11,5.21,
2008-12,4.90,
2009-01,4.76,
2009-02,4.50,
2009-03,4.34,
2009-04,4.25,
2009-05,4.21,
2009-06,4.23,
2009-07,4.22,
2009-08,4.18,
2009-09,4.14,
2009-10,4.08,
2009-11,4.06,
2009-12,4.05,
2010-01,3.99,
2010-02,3.97,
2010-03,3.88,
2010-04,3.88,
2010-05,3.80,
2010-06,3.71,
2010-07,3.60,
2010-08,3.66,
2010-09,3.54,
2010-10,3.49,
2010-11,3.55,
2010-12,3.62,
2011-01,3.74,
2011-02,3.92,
2011-03,3.99,
2011-04,4.09,
2011-05,4.16,
2011-06,4.11,
2011-07,4.02,
2011-08,3.98,
2011-09,3.75,
2011-10,3.61,
2011-11,3.56,
2011-12,3.51,
2012-01,3.50,
2012-02,3.40,
2012-03,3.29,
2012-04,3.34,
2012-05,3.21,
2012-06,3.06,
2012-07,3.02,
2012-08,2.95,
2012-09,2.89,
2012-10,2.88,
2012-11,2.84,
2012-12,2.82,
2013-01,2.79,
2013-02,2.79,
2013-03,2.81,
2013-04,2.83,
2013-05,2.71,
2013-06,2.64,
2013-07,2.71,
2013-08,2.79,
2013-09,2.86,
2013-10,2.89,
2013-11,2.90,
2013-12,2.83,
2014-01,2.84,
2014-02,2.83,
2014-03,2.75,
2014-04,2.75,
2014-05,2.66,
2014-06,2.58,
2014-07,2.50,
2014-08,2.45,
2014-09,2.34,
2014-10,2.29,
2014-11,2.23,
2014-12,2.17,Provisional value
"","General: Volume-weighted average rates of all new agreements concluded during the reporting month. The effective interest rates may always be calculated either as annualised agreed interest rates or as narrowly defined effective rates. Both calculation methods cover all interest payments on deposits and loans but not any other related charges which may occur for enquiries, administration, preparation of the documents, guarantees and credit insurance. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and fortheir own account. Excluding overdrafts. p = Provisional",
