"",BBEX3.M.ANG.EUR.CA.AA.A01,BBEX3.M.ANG.EUR.CA.AA.A01_FLAGS
"","Exchange rates for the euro in the Netherlands Antilles and in Curaçao and Sint Maarten (southern part), respectively / EUR 100 = ANG ... (buying)",
unit,ANG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:36,
1999-01,202.75,
1999-02,196.24,
1999-03,191.32,
1999-04,188.86,
1999-05,186.23,
1999-06,183.95,
1999-07,190.47,
1999-08,188.31,
1999-09,189.95,
1999-10,186.17,
1999-11,179.83,
1999-12,178.92,
2000-01,174.38,
2000-02,173.01,
2000-03,170.14,
2000-04,161.81,
2000-05,165.69,
2000-06,170.20,
2000-07,164.62,
2000-08,158.62,
2000-09,156.11,
2000-10,149.91,
2000-11,154.67,
2000-12,165.73,
2001-01,165.51,
2001-02,164.71,
2001-03,157.30,
2001-04,160.70,
2001-05,151.03,
2001-06,151.03,
2001-07,155.93,
2001-08,163.11,
2001-09,162.63,
2001-10,161.04,
2001-11,158.48,
2001-12,156.96,
2002-01,153.83,
2002-02,154.08,
2002-03,155.38,
2002-04,160.97,
2002-05,167.19,
2002-06,177.66,
2002-07,174.24,
2002-08,175.13,
2002-09,175.61,
2002-10,175.68,
2002-11,176.80,
2002-12,186.78,
2003-01,192.64,
2003-02,192.03,
2003-03,194.05,
2003-04,195.13,
2003-05,210.56,
2003-06,203.52,
2003-07,201.58,
2003-08,194.62,
2003-09,207.53,
2003-10,206.99,
2003-11,213.62,
2003-12,224.95,
2004-01,220.57,
2004-02,221.17,
2004-03,217.72,
2004-04,210.63,
2004-05,217.25,
2004-06,216.49,
2004-07,214.42,
2004-08,215.70,
2004-09,221.01,
2004-10,226.85,
2004-11,236.79,
2004-12,242.60,
2005-01,232.16,
2005-02,236.11,
2005-03,230.90,
2005-04,230.77,
2005-05,219.62,
2005-06,215.36,
2005-07,215.38,
2005-08,217.25,
2005-09,214.47,
2005-10,214.14,
2005-11,209.61,
2005-12,210.11,
2006-01,215.83,
2006-02,211.50,
2006-03,215.58,
2006-04,223.29,
2006-05,229.19,
2006-06,226.42,
2006-07,227.39,
2006-08,228.88,
2006-09,225.48,
2006-10,226.12,
2006-11,235.10,
2006-12,234.56,
2007-01,230.72,
2007-02,235.29,
2007-03,237.20,
2007-04,242.99,
2007-05,239.60,
2007-06,240.53,
2007-07,244.13,
2007-08,244.09,
2007-09,252.54,
2007-10,257.31,
2007-11,262.90,
2007-12,262.19,
2008-01,264.84,
2008-02,270.13,
2008-03,281.62,
2008-04,277.33,
2008-05,276.21,
2008-06,280.76,
2008-07,278.04,
2008-08,262.44,
2008-09,254.74,
2008-10,227.21,
2008-11,226.67,
2008-12,247.87,
2009-01,228.26,
2009-02,225.20,
2009-03,237.02,
2009-04,236.27,
2009-05,251.09,
2009-06,251.73,
2009-07,251.80,
2009-08,254.19,
2009-09,260.80,
2009-10,263.60,
2009-11,267.57,
2009-12,256.58,
2010-01,248.74,
2010-02,241.69,
2010-03,240.07,
2010-04,236.10,
2010-05,219.19,
2010-06,218.55,
2010-07,232.04,
2010-08,225.84,
2010-09,243.08,
2010-10,246.80,
2010-11,231.50,
2010-12,237.98,
2011-01,243.86,
2011-02,246.39,
2011-03,253.03,
2011-04,264.66,
2011-05,256.20,
2011-06,257.42,
2011-07,253.98,
2011-08,257.36,
2011-09,240.50,
2011-10,249.36,
2011-11,238.98,
2011-12,230.45,
2012-01,234.67,
2012-02,239.43,
2012-03,237.88,
2012-04,235.62,
2012-05,220.90,
2012-06,224.23,
2012-07,218.78,
2012-08,224.61,
2012-09,230.29,
2012-10,231.41,
2012-11,231.29,
2012-12,234.99,
2013-01,241.33,
2013-02,233.83,
2013-03,228.06,
2013-04,233.55,
2013-05,231.64,
2013-06,232.96,
2013-07,236.43,
2013-08,235.72,
2013-09,240.53,
2013-10,242.95,
2013-11,242.42,
2013-12,245.62,
2014-01,240.73,
2014-02,246.02,
2014-03,245.57,
2014-04,246.25,
2014-05,242.35,
2014-06,243.26,
2014-07,238.29,
2014-08,234.88,
2014-09,224.11,
2014-10,223.06,
2014-11,222.33,
2014-12,216.24,
2015-01,201.35,
"","General: The Netherlands Antilles, a Dutch overseas territory in the Caribbean, was dissolved with effect from 10 October 2010. Curaçao and Sint Maarten (the southern part) are now autonomous countries within the Kingdom of the Netherlands. Meanwhile, the islands of Bonaire, St Eustatius and Saba (also known as the BES islands) received the status ""specialmunicipalities"" of the Netherlands. Until the end of December 2010, the Netherlands Antillean guilder also remained legal tender on the BES islands, but was replaced by the US dollar at the beginning of 2011.",
"","Source: Since October 2010: Centrale Bank van Curaçao en Sint Maarten, Willemstad. 1999 - September 2010: Bank van de Nederlandse Antillen, Willemstad.",
