"",BBSF2.M.1.S.I0011.SON01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0011.SON01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Number / Non-financial corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:53:36,
2009-09,-,Nothing exists
2009-10,4,
2009-11,5,
2009-12,2,
2010-01,3,
2010-02,3,
2010-03,3,
2010-04,4,
2010-05,4,
2010-06,4,
2010-07,4,
2010-08,4,
2010-09,4,
2010-10,4,
2010-11,4,
2010-12,4,
2011-01,5,
2011-02,5,
2011-03,5,
2011-04,5,
2011-05,5,
2011-06,6,
2011-07,6,
2011-08,6,
2011-09,7,
2011-10,8,
2011-11,8,
2011-12,8,
2012-01,8,
2012-02,8,
2012-03,8,
2012-04,8,
2012-05,9,
2012-06,9,
2012-07,9,
2012-08,9,
2012-09,9,
2012-10,9,
2012-11,9,
2012-12,9,
2013-01,9,
2013-02,9,
2013-03,9,
2013-04,9,
2013-05,9,
2013-06,9,
2013-07,9,
2013-08,9,
2013-09,9,
2013-10,9,
2013-11,9,
2013-12,9,
2014-01,9,
2014-02,9,
2014-03,9,
2014-04,10,
2014-05,12,
2014-06,12,
2014-07,12,
2014-08,16,
2014-09,15,
2014-10,15,
2014-11,15,
