"",BBK01.CELF02,BBK01.CELF02_FLAGS
"",long-term loans                                            debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:45,
1999-01,35.2,
1999-04,49.4,
1999-07,38.6,
1999-10,56.0,
2000-01,11.9,
2000-04,37.5,
2000-07,20.7,
2000-10,30.2,
2001-01,7.0,
2001-04,12.3,
2001-07,25.6,
2001-10,24.3,
2002-01,4.3,
2002-04,3.3,
2002-07,-0.7,
2002-10,29.9,
2003-01,-3.9,
2003-04,1.3,
2003-07,5.6,
2003-10,22.0,
2004-01,-6.7,
2004-04,7.9,
2004-07,7.5,
2004-10,4.8,
2005-01,-10.5,
2005-04,6.2,
2005-07,12.7,
2005-10,-1.8,
2006-01,-4.9,
2006-04,7.5,
2006-07,13.5,
2006-10,0.8,
2007-01,-7.6,
2007-04,19.0,
2007-07,21.5,
2007-10,5.4,
2008-01,-1.2,
2008-04,39.9,
2008-07,30.4,
2008-10,9.0,
2009-01,-11.1,
2009-04,15.4,
2009-07,15.2,
2009-10,7.4,
2010-01,-7.8,
2010-04,17.3,
2010-07,7.5,
2010-10,4.0,
2011-01,-5.5,
2011-04,-1.5,
2011-07,19.3,
2011-10,17.6,
2012-01,-1.9,
2012-04,7.7,
2012-07,8.7,
2012-10,1.0,
2013-01,-0.4,
2013-04,2.6,
2013-07,-3.5,
2013-10,3.5,
2014-01,3.5,
2014-04,2.4,
2014-07,19.4,
