"",BBAI3.Q.DE.N.V.LE.F6.SK.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F6.SK.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Death benefit funds / Insurance technical reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:34,
2005-10,1518,
2006-01,1337,
2006-04,1320,
2006-07,1313,
2006-10,1580,
2007-01,1339,
2007-04,1351,
2007-07,1358,
2007-10,1631,
2008-01,1407,
2008-04,1400,
2008-07,1424,
2008-10,1659,
2009-01,1433,
2009-04,1439,
2009-07,1461,
2009-10,1724,
2010-01,1484,
2010-04,1492,
2010-07,1507,
2010-10,1775,
2011-01,1533,
2011-04,1551,
2011-07,1553,
2011-10,1802,
2012-01,1643,
2012-04,1654,
2012-07,1660,
2012-10,1852,
2013-01,1712,
2013-04,1714,
2013-07,1722,
2013-10,1880,
2014-01,1765,
2014-04,1784,
2014-07,1790,
