"",BBAI3.Q.DE.N.V.LE.F62.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:22,
2005-10,53553,
2006-01,53083,
2006-04,52634,
2006-07,52206,
2006-10,51799,
2007-01,50926,
2007-04,50084,
2007-07,49274,
2007-10,48495,
2008-01,47945,
2008-04,47408,
2008-07,46882,
2008-10,46367,
2009-01,45390,
2009-04,44455,
2009-07,43562,
2009-10,42709,
2010-01,42485,
2010-04,42269,
2010-07,42061,
2010-10,41860,
2011-01,42022,
2011-04,42106,
2011-07,42199,
2011-10,42337,
2012-01,42454,
2012-04,42571,
2012-07,42691,
2012-10,42814,
2013-01,41305,
2013-04,41583,
2013-07,42111,
2013-10,42733,
2014-01,44476,
2014-04,44250,
2014-07,44143,
