"",BBK01.CELFC0,BBK01.CELFC0_FLAGS
"",long-term loans                                            debtor: General government                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:31,
1999-01,-4.7,
1999-04,-0.8,
1999-07,-4.8,
1999-10,6.1,
2000-01,11.6,
2000-04,2.2,
2000-07,-4.9,
2000-10,-11.5,
2001-01,-5.6,
2001-04,-1.7,
2001-07,-2.9,
2001-10,-5.0,
2002-01,-5.8,
2002-04,-4.3,
2002-07,-2.0,
2002-10,-2.8,
2003-01,-1.5,
2003-04,-0.6,
2003-07,3.2,
2003-10,7.0,
2004-01,-1.3,
2004-04,0.0,
2004-07,2.1,
2004-10,-2.3,
2005-01,1.2,
2005-04,-6.6,
2005-07,2.4,
2005-10,-2.7,
2006-01,-4.1,
2006-04,-5.6,
2006-07,-3.4,
2006-10,1.6,
2007-01,-9.9,
2007-04,-4.0,
2007-07,-4.3,
2007-10,-6.3,
2008-01,7.5,
2008-04,0.2,
2008-07,-5.5,
2008-10,-1.2,
2009-01,-1.9,
2009-04,7.1,
2009-07,3.2,
2009-10,2.5,
2010-01,-2.0,
2010-04,13.8,
2010-07,1.4,
2010-10,11.5,
2011-01,4.7,
2011-04,-4.2,
2011-07,4.2,
2011-10,-6.5,
2012-01,12.0,
2012-04,7.9,
2012-07,4.8,
2012-10,5.9,
2013-01,2.0,
2013-04,5.1,
2013-07,0.6,
2013-10,-1.4,
2014-01,-6.3,
2014-04,-2.7,
2014-07,-3.9,
