"",BBAI3.Q.DE.N.V.LE.F29AAA.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAA.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Deposits up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:32,
2005-10,4190,
2006-01,4341,
2006-04,4154,
2006-07,4195,
2006-10,5286,
2007-01,5097,
2007-04,5056,
2007-07,4445,
2007-10,5438,
2008-01,6300,
2008-04,5645,
2008-07,5187,
2008-10,6021,
2009-01,6916,
2009-04,5625,
2009-07,5840,
2009-10,6044,
2010-01,5759,
2010-04,5622,
2010-07,5103,
2010-10,5102,
2011-01,5743,
2011-04,6111,
2011-07,6786,
2011-10,6890,
2012-01,7030,
2012-04,7031,
2012-07,6900,
2012-10,7296,
2013-01,7337,
2013-04,6656,
2013-07,6189,
2013-10,5971,
2014-01,7455,
2014-04,7471,
2014-07,6740,
