"",BBFN1.M.DE.N.1.L.IE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1991-07,0.114,
1991-08,0.100,
1991-09,0.123,
1991-10,0.127,
1991-11,0.135,
1991-12,0.197,
1992-01,0.184,
1992-02,0.201,
1992-03,0.195,
1992-04,0.197,
1992-05,0.234,
1992-06,0.328,
1992-07,0.246,
1992-08,0.365,
1992-09,0.322,
1992-10,0.341,
1992-11,0.327,
1992-12,0.341,
1993-01,0.503,
1993-02,0.361,
1993-03,0.373,
1993-04,0.424,
1993-05,0.428,
1993-06,0.415,
1993-07,0.427,
1993-08,0.404,
1993-09,0.404,
1993-10,0.388,
1993-11,0.397,
1993-12,0.477,
1994-01,0.443,
1994-02,0.454,
1994-03,0.504,
1994-04,0.357,
1994-05,0.355,
1994-06,0.423,
1994-07,0.485,
1994-08,0.510,
1994-09,0.484,
1994-10,0.520,
1994-11,0.532,
1994-12,0.562,
1995-01,0.463,
1995-02,0.451,
1995-03,0.535,
1995-04,0.595,
1995-05,0.569,
1995-06,0.534,
1995-07,0.520,
1995-08,0.511,
1995-09,0.525,
1995-10,0.538,
1995-11,0.524,
1995-12,0.821,
1996-01,0.983,
1996-02,1.164,
1996-03,1.409,
1996-04,0.933,
1996-05,0.912,
1996-06,1.000,
1996-07,1.049,
1996-08,1.153,
1996-09,1.140,
1996-10,1.156,
1996-11,1.260,
1996-12,1.467,
1997-01,1.281,
1997-02,1.300,
1997-03,1.402,
1997-04,1.370,
1997-05,1.545,
1997-06,1.553,
1997-07,1.696,
1997-08,1.818,
1997-09,1.950,
1997-10,2.193,
1997-11,2.289,
1997-12,2.484,
1998-01,2.566,
1998-02,2.650,
1998-03,2.750,
1998-04,2.909,
1998-05,2.936,
1998-06,3.104,
1998-07,3.177,
1998-08,3.204,
1998-09,3.057,
1998-10,3.337,
1998-11,3.647,
1998-12,3.331,
1999-01,3.528,
1999-02,3.616,
1999-03,3.500,
1999-04,3.794,
1999-05,3.749,
1999-06,4.065,
1999-07,4.339,
1999-08,4.723,
1999-09,4.551,
1999-10,4.738,
1999-11,3.977,
1999-12,4.702,
2000-01,4.463,
2000-02,4.465,
2000-03,4.254,
2000-04,4.211,
2000-05,4.363,
2000-06,4.370,
2000-07,4.214,
2000-08,4.507,
2000-09,4.489,
2000-10,4.808,
2000-11,4.773,
2000-12,4.777,
2001-01,4.680,
2001-02,4.596,
2001-03,4.608,
2001-04,4.727,
2001-05,4.562,
2001-06,4.463,
2001-07,4.194,
2001-08,4.290,
2001-09,4.400,
2001-10,4.343,
2001-11,4.026,
2001-12,4.513,
2002-01,4.494,
2002-02,4.746,
2002-03,5.183,
2002-04,5.225,
2002-05,5.064,
2002-06,5.135,
2002-07,5.134,
2002-08,4.662,
2002-09,4.713,
2002-10,4.772,
2002-11,4.641,
2002-12,4.174,
2003-01,4.301,
2003-02,4.260,
2003-03,4.301,
2003-04,4.253,
2003-05,4.281,
2003-06,4.553,
2003-07,4.365,
2003-08,4.421,
2003-09,4.496,
2003-10,4.102,
2003-11,4.139,
2003-12,3.730,
2004-01,3.673,
2004-02,3.609,
2004-03,3.981,
2004-04,3.720,
2004-05,3.804,
2004-06,3.844,
2004-07,4.885,
2004-08,4.967,
2004-09,5.386,
2004-10,5.181,
2004-11,5.112,
2004-12,5.189,
2005-01,4.799,
2005-02,4.655,
2005-03,5.195,
2005-04,5.349,
2005-05,4.978,
2005-06,4.687,
2005-07,4.650,
2005-08,5.568,
2005-09,6.014,
2005-10,6.387,
2005-11,6.802,
2005-12,6.285,
2006-01,6.263,
2006-02,9.129,
2006-03,10.489,
2006-04,10.128,
2006-05,10.187,
2006-06,10.522,
2006-07,10.693,
2006-08,10.617,
2006-09,8.855,
2006-10,8.804,
2006-11,9.349,
2006-12,9.377,
2007-01,9.518,
2007-02,10.372,
2007-03,10.040,
2007-04,9.392,
2007-05,9.447,
2007-06,9.628,
2007-07,9.024,
2007-08,9.112,
2007-09,9.176,
2007-10,8.703,
2007-11,9.294,
2007-12,10.758,
2008-01,10.390,
2008-02,9.608,
2008-03,10.169,
2008-04,10.134,
2008-05,10.168,
2008-06,9.940,
2008-07,9.860,
2008-08,8.862,
2008-09,9.810,
2008-10,7.532,
2008-11,8.040,
2008-12,7.984,
2009-01,7.786,
2009-02,7.695,
2009-03,7.637,
2009-04,7.120,
2009-05,7.507,
2009-06,7.938,
2009-07,7.194,
2009-08,6.610,
2009-09,6.364,
2009-10,6.422,
2009-11,6.338,
2009-12,6.237,
2010-01,6.437,
2010-02,7.036,
2010-03,7.189,
2010-04,7.112,
2010-05,7.117,
2010-06,6.817,
2010-07,7.197,
2010-08,7.264,
2010-09,7.625,
2010-10,7.293,
2010-11,7.217,
2010-12,7.250,
2011-01,7.631,
2011-02,5.688,
2011-03,5.146,
2011-04,6.180,
2011-05,6.047,
2011-06,6.044,
2011-07,6.034,
2011-08,6.299,
2011-09,5.692,
2011-10,5.536,
2011-11,5.652,
2011-12,5.394,
2012-01,5.611,
2012-02,5.414,
2012-03,5.371,
2012-04,5.588,
2012-05,5.819,
2012-06,5.650,
2012-07,5.723,
2012-08,5.163,
2012-09,5.786,
2012-10,5.967,
2012-11,5.877,
2012-12,5.184,
2013-01,5.502,
2013-02,5.579,
2013-03,5.511,
2013-04,5.468,
2013-05,5.499,
2013-06,5.989,
2013-07,5.938,
2013-08,6.015,
2013-09,3.850,
2013-10,4.207,
2013-11,4.680,
2013-12,4.581,
2014-01,4.373,
2014-02,4.467,
2014-03,4.603,
2014-04,4.722,
2014-05,5.186,
2014-06,4.990,
2014-07,4.888,
2014-08,5.089,
2014-09,4.880,
2014-10,4.861,
2014-11,4.705,
2014-12,4.999,
