"",BBK01.CEHQ0C,BBK01.CEHQ0C_FLAGS
"",short-term time deposits debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:52,
1991-01,2.7,
1991-04,1.8,
1991-07,1.1,
1991-10,-1.5,
1992-01,1.0,
1992-04,-0.6,
1992-07,0.2,
1992-10,1.5,
1993-01,0.7,
1993-04,3.2,
1993-07,-0.6,
1993-10,3.2,
1994-01,-2.5,
1994-04,-0.8,
1994-07,-2.2,
1994-10,-1.6,
1995-01,-2.0,
1995-04,-1.2,
1995-07,-1.6,
1995-10,1.3,
1996-01,-2.2,
1996-04,-0.8,
1996-07,-3.4,
1996-10,1.2,
1997-01,0.9,
1997-04,0.5,
1997-07,-0.1,
1997-10,0.5,
1998-01,-0.2,
1998-04,4.9,
1998-07,-1.3,
1998-10,1.2,
1999-01,-2.4,
1999-04,3.5,
1999-07,-0.8,
1999-10,7.7,
2000-01,-5.5,
2000-04,11.2,
2000-07,33.5,
2000-10,1.9,
2001-01,-33.8,
2001-04,-1.9,
2001-07,-2.4,
2001-10,-1.7,
2002-01,-6.7,
2002-04,1.6,
2002-07,-6.5,
2002-10,-2.1,
2003-01,0.4,
2003-04,4.2,
2003-07,-1.7,
2003-10,1.6,
2004-01,-0.9,
2004-04,3.7,
2004-07,-0.5,
2004-10,-1.6,
2005-01,-6.9,
2005-04,3.7,
2005-07,3.5,
2005-10,8.4,
2006-01,-4.5,
2006-04,24.1,
2006-07,10.3,
2006-10,0.2,
2007-01,-11.5,
2007-04,34.0,
2007-07,-25.1,
2007-10,11.7,
2008-01,-3.3,
2008-04,18.5,
2008-07,-10.2,
2008-10,-2.7,
2009-01,-20.0,
2009-04,18.7,
2009-07,-32.8,
2009-10,-1.4,
2010-01,0.1,
2010-04,-2.7,
2010-07,7.2,
2010-10,14.3,
2011-01,4.3,
2011-04,19.0,
2011-07,4.6,
2011-10,10.3,
2012-01,1.9,
2012-04,24.1,
2012-07,-2.4,
2012-10,-21.8,
2013-01,-9.1,
2013-04,0.9,
2013-07,2.8,
2013-10,9.3,
2014-01,5.9,
