"",BBK01.CEF50K,BBK01.CEF50K_FLAGS
"",Equity and investment fund shares or units  debtor: Total           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:21,
1999-01,348.1,
1999-04,368.4,
1999-07,370.3,
1999-10,438.9,
2000-01,467.9,
2000-04,470.0,
2000-07,484.8,
2000-10,461.1,
2001-01,454.7,
2001-04,466.9,
2001-07,434.1,
2001-10,458.3,
2002-01,492.6,
2002-04,473.7,
2002-07,439.5,
2002-10,433.9,
2003-01,415.2,
2003-04,445.2,
2003-07,452.2,
2003-10,459.7,
2004-01,460.1,
2004-04,450.0,
2004-07,445.8,
2004-10,449.4,
2005-01,460.7,
2005-04,472.1,
2005-07,488.2,
2005-10,455.6,
2006-01,443.6,
2006-04,444.3,
2006-07,454.1,
2006-10,476.6,
2007-01,478.1,
2007-04,491.4,
2007-07,505.8,
2007-10,505.1,
2008-01,480.8,
2008-04,472.6,
2008-07,472.7,
2008-10,451.0,
2009-01,434.8,
2009-04,442.9,
2009-07,448.1,
2009-10,459.8,
2010-01,481.7,
2010-04,485.0,
2010-07,504.2,
2010-10,519.2,
2011-01,524.7,
2011-04,535.9,
2011-07,530.0,
2011-10,532.2,
2012-01,563.4,
2012-04,556.1,
2012-07,574.4,
2012-10,593.7,
2013-01,627.7,
2013-04,626.4,
2013-07,643.2,
2013-10,652.6,
2014-01,677.5,
2014-04,700.4,
2014-07,716.4,
