"",BBK01.CEBS0B,BBK01.CEBS0B_FLAGS
"",Savings certificates debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:40,
1991-01,5.3,
1991-04,5.6,
1991-07,5.8,
1991-10,6.1,
1992-01,6.3,
1992-04,6.5,
1992-07,6.8,
1992-10,7.5,
1993-01,7.8,
1993-04,8.4,
1993-07,9.2,
1993-10,8.5,
1994-01,8.9,
1994-04,9.1,
1994-07,9.2,
1994-10,9.4,
1995-01,11.1,
1995-04,11.7,
1995-07,12.1,
1995-10,12.6,
1996-01,13.0,
1996-04,13.1,
1996-07,13.6,
1996-10,14.1,
1997-01,14.5,
1997-04,14.7,
1997-07,15.0,
1997-10,15.3,
1998-01,15.6,
1998-04,15.9,
1998-07,16.2,
1998-10,16.2,
1999-01,17.4,
1999-04,17.7,
1999-07,17.5,
1999-10,17.5,
2000-01,17.5,
2000-04,17.5,
2000-07,17.6,
2000-10,17.8,
2001-01,17.6,
2001-04,17.6,
2001-07,17.6,
2001-10,16.9,
2002-01,16.8,
2002-04,16.9,
2002-07,16.6,
2002-10,16.3,
2003-01,16.4,
2003-04,16.2,
2003-07,15.8,
2003-10,15.4,
2004-01,15.0,
2004-04,15.0,
2004-07,14.9,
2004-10,14.9,
2005-01,14.8,
2005-04,14.8,
2005-07,14.5,
2005-10,13.9,
2006-01,13.7,
2006-04,13.5,
2006-07,13.2,
2006-10,13.0,
2007-01,13.3,
2007-04,13.2,
2007-07,13.0,
2007-10,13.2,
2008-01,13.0,
2008-04,13.0,
2008-07,12.6,
2008-10,12.2,
2009-01,12.1,
2009-04,12.3,
2009-07,12.6,
2009-10,12.8,
2010-01,13.0,
2010-04,13.2,
2010-07,13.4,
2010-10,10.8,
2011-01,10.6,
2011-04,10.7,
2011-07,10.8,
2011-10,10.7,
2012-01,10.3,
2012-04,10.1,
2012-07,10.0,
2012-10,9.9,
2013-01,9.7,
2013-04,9.5,
2013-07,9.5,
2013-10,9.3,
2014-01,8.9,
