"",BBEX3.M.BRL.EUR.CA.AA.A01,BBEX3.M.BRL.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Brazil / EUR 1 = BRL ... (buying),
unit,BRL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:19,
1999-01,2.25169,comment
1999-02,2.27184,
1999-03,1.85450,
1999-04,1.75446,
1999-05,1.79554,
1999-06,1.83181,
1999-07,1.91441,
1999-08,2.02250,
1999-09,2.05230,
1999-10,2.05870,
1999-11,1.93840,
1999-12,1.80070,
2000-01,1.74790,
2000-02,1.70460,
2000-03,1.66930,
2000-04,1.64670,
2000-05,1.71138,
2000-06,1.71468,
2000-07,1.64297,
2000-08,1.61821,
2000-09,1.62739,
2000-10,1.61906,
2000-11,1.70859,
2000-12,1.83719,
2001-01,1.83914,
2001-02,1.88685,
2001-03,1.89688,
2001-04,1.93680,
2001-05,1.99630,
2001-06,1.95866,
2001-07,2.12757,
2001-08,2.32500,
2001-09,2.43001,
2001-10,2.43581,
2001-11,2.26513,
2001-12,2.05854,
2002-01,2.07729,
2002-02,2.03910,
2002-03,2.02099,
2002-04,2.12423,
2002-05,2.35413,
2002-06,2.81802,
2002-07,3.35027,
2002-08,2.96684,
2002-09,3.84506,
2002-10,3.60632,
2002-11,3.61390,
2002-12,3.69316,
2003-01,3.78959,
2003-02,3.84547,
2003-03,3.65853,
2003-04,3.22742,
2003-05,3.49138,
2003-06,3.30395,
2003-07,3.33037,
2003-08,3.25382,
2003-09,3.40606,
2003-10,3.30176,
2003-11,3.53183,
2003-12,3.64305,
2004-01,3.66066,
2004-02,3.63740,
2004-03,3.57537,
2004-04,3.52385,
2004-05,3.81274,
2004-06,3.78735,
2004-07,3.63241,
2004-08,3.57031,
2004-09,3.54990,
2004-10,3.65004,
2004-11,3.62678,
2004-12,3.61213,
2005-01,3.41789,
2005-02,3.43327,
2005-03,3.45316,
2005-04,3.25640,
2005-05,2.95564,
2005-06,2.84372,
2005-07,2.89751,
2005-08,2.91346,
2005-09,2.67012,
2005-10,2.69992,
2005-11,2.60045,
2005-12,2.76693,
2006-01,2.69745,
2006-02,2.53410,
2006-03,2.63111,
2006-04,2.63389,
2006-05,2.94638,
2006-06,2.76647,
2006-07,2.77690,
2006-08,2.73835,
2006-09,2.75587,
2006-10,2.73388,
2006-11,2.87212,
2006-12,2.81833,
2007-01,2.76256,
2007-02,2.80132,
2007-03,2.73642,
2007-04,2.77498,
2007-05,2.59407,
2007-06,2.60584,
2007-07,2.56765,
2007-08,2.67312,
2007-09,2.62205,
2007-10,2.51910,
2007-11,2.61890,
2007-12,2.60688,
2008-01,2.61268,
2008-02,2.55513,
2008-03,2.75847,
2008-04,2.63362,
2008-05,2.53312,
2008-06,2.50423,
2008-07,2.44238,
2008-08,2.39682,
2008-09,2.69170,
2008-10,2.69055,
2008-11,2.96062,
2008-12,3.23634,
2009-01,2.96739,
2009-02,3.01991,
2009-03,3.07653,
2009-04,2.88083,
2009-05,2.78770,
2009-06,2.73834,
2009-07,2.67010,
2009-08,2.69952,
2009-09,2.59960,
2009-10,2.56861,
2009-11,2.62478,
2009-12,2.50583,
2010-01,2.60171,
2010-02,2.46531,
2010-03,2.40610,
2010-04,2.30250,
2010-05,2.23500,
2010-06,2.20320,
2010-07,2.29280,
2010-08,2.22490,
2010-09,2.30910,
2010-10,2.36540,
2010-11,2.23520,
2010-12,2.22660,
2011-01,2.29000,
2011-02,2.29040,
2011-03,2.31160,
2011-04,2.33120,
2011-05,2.27200,
2011-06,2.26540,
2011-07,2.23810,
2011-08,2.28510,
2011-09,2.49250,
2011-10,2.35990,
2011-11,2.44030,
2011-12,2.43310,
2012-01,2.28440,
2012-02,2.28560,
2012-03,2.42900,
2012-04,2.50150,
2012-05,2.49920,
2012-06,2.55960,
2012-07,2.52340,
2012-08,2.56100,
2012-09,2.61000,
2012-10,2.63390,
2012-11,2.73840,
2012-12,2.69440,
2013-01,2.69770,
2013-02,2.58240,
2013-03,2.58430,
2013-04,2.63540,
2013-05,2.76680,
2013-06,2.88170,
2013-07,3.04350,
2013-08,3.12970,
2013-09,3.01700,
2013-10,2.99820,
2013-11,3.16100,
2013-12,3.22520,
2014-01,3.27110,
2014-02,3.22150,
2014-03,3.11620,
2014-04,3.10010,
2014-05,3.05270,
2014-06,3.01370,
2014-07,3.03430,
2014-08,2.94410,
2014-09,3.09360,
2014-10,3.05600,
2014-11,3.19020,
2014-12,3.22580,
2015-01,3.00880,
"",General: Multiple exchange rate system in January 1999.,
"","Source: Since April 2000: Banco Central do Brasil, Brasilia. 1999 - March 2000: Dresdner Bank Lateinamerika AG, Hamburg.",
"","Comment on 1999-01: Commercial banks' rate.  Exchange rate used until 31 January 1999:  Commercial banks' rate (taxa comercial): for all foreign exchange transactions not settled at the free market rate.  Free market rate (taxa flutuante): for all unrequited transfers (including pension and remittance payments), for certain services (including the provision of foreign exchange for travel purposes and currency exchange for foreign tourists, also via international credit cards), as well as for certain overdue loan redemptions; also for certain capital transfers by Brazilians based abroad.  Free market rates as at the end of January 1999: EUR 1 = BRL 2.0489 / 2.2766 (buying/selling).  The multiple exchange rate system was standardised on 1 February 1999.",
