"",BBK01.CE5AAT,BBK01.CE5AAT_FLAGS
"",Longer-term claims on insurance corporations debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:57,
1991-01,11.0,
1991-04,1.5,
1991-07,11.3,
1991-10,3.2,
1992-01,8.9,
1992-04,7.3,
1992-07,7.1,
1992-10,6.6,
1993-01,4.6,
1993-04,11.2,
1993-07,8.7,
1993-10,12.7,
1994-01,7.9,
1994-04,12.5,
1994-07,7.9,
1994-10,9.1,
1995-01,13.5,
1995-04,9.4,
1995-07,9.5,
1995-10,10.6,
1996-01,14.3,
1996-04,9.9,
1996-07,10.2,
1996-10,12.3,
1997-01,16.1,
1997-04,10.4,
1997-07,11.6,
1997-10,12.4,
1998-01,17.1,
1998-04,12.3,
1998-07,9.6,
1998-10,14.1,
1999-01,16.9,
1999-04,11.1,
1999-07,13.0,
1999-10,17.1,
2000-01,17.6,
2000-04,10.9,
2000-07,12.3,
2000-10,14.0,
2001-01,17.1,
2001-04,10.1,
2001-07,12.3,
2001-10,4.1,
2002-01,16.9,
2002-04,9.9,
2002-07,11.6,
2002-10,-6.9,
2003-01,15.4,
2003-04,9.4,
2003-07,10.3,
2003-10,9.1,
2004-01,13.0,
2004-04,8.8,
2004-07,8.9,
2004-10,14.9,
2005-01,13.2,
2005-04,9.3,
2005-07,9.4,
2005-10,24.7,
2006-01,17.7,
2006-04,14.1,
2006-07,16.2,
2006-10,16.0,
2007-01,17.2,
2007-04,15.0,
2007-07,16.9,
2007-10,32.0,
2008-01,7.3,
2008-04,6.4,
2008-07,7.2,
2008-10,7.6,
2009-01,20.9,
2009-04,12.7,
2009-07,11.4,
2009-10,16.8,
2010-01,26.2,
2010-04,17.7,
2010-07,12.1,
2010-10,16.8,
2011-01,16.2,
2011-04,10.1,
2011-07,7.7,
2011-10,11.1,
2012-01,23.6,
2012-04,16.0,
2012-07,12.2,
2012-10,15.7,
2013-01,23.8,
2013-04,16.2,
2013-07,11.9,
2013-10,15.4,
2014-01,24.5,
