"",BBAI3.Q.DE.N.V.LE.F2M.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F2M.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Deposits / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:40,
2005-10,42397,
2006-01,48078,
2006-04,47124,
2006-07,48594,
2006-10,46937,
2007-01,51416,
2007-04,50319,
2007-07,49090,
2007-10,48260,
2008-01,53652,
2008-04,50417,
2008-07,49204,
2008-10,48473,
2009-01,54046,
2009-04,50486,
2009-07,48820,
2009-10,48162,
2010-01,51627,
2010-04,47258,
2010-07,45087,
2010-10,44644,
2011-01,48298,
2011-04,46133,
2011-07,44728,
2011-10,40003,
2012-01,40450,
2012-04,39700,
2012-07,39271,
2012-10,37890,
2013-01,38900,
2013-04,38008,
2013-07,36660,
2013-10,35468,
2014-01,35953,
2014-04,35027,
2014-07,34151,
