"",BBFN1.M.DE.N.1.L.GB.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.GB.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1980-08,.,Value available later
1980-09,.,Value available later
1980-10,.,Value available later
1980-11,.,Value available later
1980-12,5.175,
1981-01,.,Value available later
1981-02,.,Value available later
1981-03,.,Value available later
1981-04,.,Value available later
1981-05,.,Value available later
1981-06,.,Value available later
1981-07,.,Value available later
1981-08,.,Value available later
1981-09,.,Value available later
1981-10,.,Value available later
1981-11,.,Value available later
1981-12,7.016,
1982-01,.,Value available later
1982-02,.,Value available later
1982-03,.,Value available later
1982-04,.,Value available later
1982-05,.,Value available later
1982-06,.,Value available later
1982-07,.,Value available later
1982-08,.,Value available later
1982-09,11.034,
1982-10,11.177,
1982-11,11.078,
1982-12,9.858,
1983-01,11.044,
1983-02,11.064,
1983-03,10.643,
1983-04,10.265,
1983-05,10.429,
1983-06,10.454,
1983-07,10.375,
1983-08,10.264,
1983-09,10.060,
1983-10,10.278,
1983-11,10.636,
1983-12,9.869,
1984-01,10.403,
1984-02,10.624,
1984-03,10.622,
1984-04,10.687,
1984-05,10.827,
1984-06,11.002,
1984-07,11.700,
1984-08,12.126,
1984-09,11.596,
1984-10,11.865,
1984-11,12.241,
1984-12,10.827,
1985-01,11.099,
1985-02,11.622,
1985-03,11.845,
1985-04,11.702,
1985-05,12.009,
1985-06,11.866,
1985-07,12.041,
1985-08,11.862,
1985-09,11.510,
1985-10,11.687,
1985-11,12.111,
1985-12,10.758,
1986-01,11.236,
1986-02,11.181,
1986-03,11.539,
1986-04,11.391,
1986-05,11.150,
1986-06,10.945,
1986-07,10.926,
1986-08,10.823,
1986-09,10.569,
1986-10,10.737,
1986-11,10.656,
1986-12,9.410,
1987-01,9.804,
1987-02,9.981,
1987-03,9.670,
1987-04,9.382,
1987-05,9.358,
1987-06,9.110,
1987-07,9.266,
1987-08,9.297,
1987-09,9.431,
1987-10,9.966,
1987-11,10.256,
1987-12,9.645,
1988-01,9.853,
1988-02,10.037,
1988-03,10.131,
1988-04,10.294,
1988-05,10.560,
1988-06,10.811,
1988-07,10.783,
1988-08,10.817,
1988-09,10.832,
1988-10,10.820,
1988-11,10.967,
1988-12,10.636,
1989-01,11.145,
1989-02,11.091,
1989-03,11.358,
1989-04,11.682,
1989-05,11.836,
1989-06,12.043,
1989-07,11.639,
1989-08,11.983,
1989-09,12.117,
1989-10,11.896,
1989-11,12.769,
1989-12,11.837,
1990-01,12.721,
1990-02,13.084,
1990-03,13.558,
1990-04,13.500,
1990-05,13.310,
1990-06,13.225,
1990-07,13.569,
1990-08,14.112,
1990-09,14.467,
1990-10,14.538,
1990-11,14.712,
1990-12,13.135,
1991-01,13.917,
1991-02,14.247,
1991-03,14.754,
1991-04,14.892,
1991-05,15.228,
1991-06,15.529,
1991-07,15.806,
1991-08,16.133,
1991-09,16.216,
1991-10,16.740,
1991-11,16.489,
1991-12,16.074,
1992-01,15.087,
1992-02,14.245,
1992-03,13.367,
1992-04,12.228,
1992-05,12.882,
1992-06,12.935,
1992-07,13.739,
1992-08,13.764,
1992-09,14.261,
1992-10,14.857,
1992-11,16.005,
1992-12,15.444,
1993-01,16.882,
1993-02,16.605,
1993-03,16.113,
1993-04,17.098,
1993-05,16.841,
1993-06,16.327,
1993-07,16.650,
1993-08,17.003,
1993-09,16.348,
1993-10,16.311,
1993-11,15.645,
1993-12,15.801,
1994-01,16.141,
1994-02,16.503,
1994-03,17.019,
1994-04,17.580,
1994-05,18.196,
1994-06,17.414,
1994-07,17.189,
1994-08,17.449,
1994-09,17.441,
1994-10,16.523,
1994-11,17.152,
1994-12,16.728,
1995-01,16.190,
1995-02,15.341,
1995-03,16.686,
1995-04,15.922,
1995-05,16.539,
1995-06,16.301,
1995-07,16.543,
1995-08,16.228,
1995-09,15.995,
1995-10,16.361,
1995-11,16.279,
1995-12,15.381,
1996-01,15.175,
1996-02,15.625,
1996-03,16.120,
1996-04,17.054,
1996-05,20.842,
1996-06,17.432,
1996-07,17.492,
1996-08,17.557,
1996-09,18.238,
1996-10,19.186,
1996-11,17.873,
1996-12,17.500,
1997-01,19.027,
1997-02,19.607,
1997-03,19.399,
1997-04,20.699,
1997-05,19.852,
1997-06,21.246,
1997-07,22.614,
1997-08,19.919,
1997-09,19.246,
1997-10,21.602,
1997-11,19.975,
1997-12,20.506,
1998-01,18.975,
1998-02,19.118,
1998-03,21.049,
1998-04,26.551,
1998-05,26.885,
1998-06,25.253,
1998-07,23.694,
1998-08,24.365,
1998-09,22.130,
1998-10,25.562,
1998-11,25.516,
1998-12,22.910,
1999-01,22.827,
1999-02,22.729,
1999-03,25.106,
1999-04,25.614,
1999-05,25.879,
1999-06,27.211,
1999-07,27.478,
1999-08,28.858,
1999-09,29.012,
1999-10,30.082,
1999-11,32.420,
1999-12,30.757,
2000-01,32.884,
2000-02,40.455,
2000-03,39.948,
2000-04,44.490,
2000-05,55.406,
2000-06,57.972,
2000-07,50.376,
2000-08,55.257,
2000-09,63.487,
2000-10,67.955,
2000-11,64.347,
2000-12,59.984,
2001-01,68.583,
2001-02,71.982,
2001-03,62.789,
2001-04,65.044,
2001-05,59.614,
2001-06,55.890,
2001-07,60.465,
2001-08,65.196,
2001-09,62.649,
2001-10,65.935,
2001-11,60.429,
2001-12,60.524,
2002-01,61.414,
2002-02,64.586,
2002-03,67.409,
2002-04,69.144,
2002-05,60.577,
2002-06,56.612,
2002-07,53.145,
2002-08,53.087,
2002-09,54.703,
2002-10,55.346,
2002-11,54.197,
2002-12,53.656,
2003-01,55.846,
2003-02,54.805,
2003-03,57.957,
2003-04,61.729,
2003-05,60.237,
2003-06,61.227,
2003-07,62.658,
2003-08,63.815,
2003-09,62.808,
2003-10,52.772,
2003-11,52.922,
2003-12,57.143,
2004-01,55.223,
2004-02,63.978,
2004-03,49.104,
2004-04,49.444,
2004-05,49.081,
2004-06,47.321,
2004-07,46.472,
2004-08,46.524,
2004-09,46.467,
2004-10,45.845,
2004-11,44.570,
2004-12,45.722,
2005-01,42.275,
2005-02,44.505,
2005-03,44.090,
2005-04,39.440,
2005-05,36.969,
2005-06,38.458,
2005-07,39.859,
2005-08,42.244,
2005-09,46.829,
2005-10,46.335,
2005-11,46.076,
2005-12,48.082,
2006-01,53.746,
2006-02,58.424,
2006-03,59.192,
2006-04,58.212,
2006-05,57.892,
2006-06,65.668,
2006-07,64.926,
2006-08,63.507,
2006-09,71.682,
2006-10,72.063,
2006-11,73.512,
2006-12,68.437,
2007-01,66.062,
2007-02,69.783,
2007-03,67.749,
2007-04,68.299,
2007-05,70.792,
2007-06,67.443,
2007-07,67.734,
2007-08,65.456,
2007-09,74.498,
2007-10,72.109,
2007-11,68.389,
2007-12,78.124,
2008-01,76.864,
2008-02,74.915,
2008-03,80.950,
2008-04,73.259,
2008-05,79.029,
2008-06,79.332,
2008-07,75.872,
2008-08,77.135,
2008-09,79.969,
2008-10,86.622,
2008-11,83.080,
2008-12,80.615,
2009-01,83.386,
2009-02,78.801,
2009-03,77.228,
2009-04,80.359,
2009-05,78.084,
2009-06,73.633,
2009-07,70.923,
2009-08,71.739,
2009-09,68.802,
2009-10,69.853,
2009-11,69.348,
2009-12,68.168,
2010-01,64.857,
2010-02,65.618,
2010-03,70.237,
2010-04,71.425,
2010-05,74.956,
2010-06,74.667,
2010-07,79.730,
2010-08,76.894,
2010-09,78.539,
2010-10,80.377,
2010-11,78.088,
2010-12,76.844,
2011-01,81.684,
2011-02,75.444,
2011-03,76.979,
2011-04,78.688,
2011-05,77.812,
2011-06,78.869,
2011-07,74.916,
2011-08,80.229,
2011-09,79.598,
2011-10,78.117,
2011-11,79.254,
2011-12,84.278,
2012-01,76.689,
2012-02,78.321,
2012-03,92.260,
2012-04,94.829,
2012-05,88.748,
2012-06,95.090,
2012-07,96.146,
2012-08,91.254,
2012-09,86.811,
2012-10,83.464,
2012-11,83.288,
2012-12,79.897,
2013-01,81.573,
2013-02,81.112,
2013-03,75.992,
2013-04,81.454,
2013-05,74.429,
2013-06,75.716,
2013-07,69.092,
2013-08,62.086,
2013-09,65.494,
2013-10,54.133,
2013-11,55.176,
2013-12,58.265,
2014-01,58.234,
2014-02,57.292,
2014-03,59.961,
2014-04,57.627,
2014-05,59.869,
2014-06,58.175,
2014-07,57.701,
2014-08,60.391,
2014-09,61.225,
2014-10,62.544,
2014-11,61.028,
2014-12,61.116,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
