"",BBAI3.Q.DE.N.V.LE.F51.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.LV.A1.S.1.N.E.Z_FLAGS
"","Assets / Life insurance companies / Shares, other equity and mutual funds shares / units / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:28,
2005-10,45019,
2006-01,46320,
2006-04,44885,
2006-07,46356,
2006-10,47435,
2007-01,47786,
2007-04,47827,
2007-07,47944,
2007-10,47539,
2008-01,44370,
2008-04,42947,
2008-07,40296,
2008-10,37256,
2009-01,34559,
2009-04,33216,
2009-07,33425,
2009-10,32711,
2010-01,33949,
2010-04,33415,
2010-07,33285,
2010-10,33721,
2011-01,34012,
2011-04,33531,
2011-07,31539,
2011-10,31543,
2012-01,32191,
2012-04,31954,
2012-07,31741,
2012-10,31637,
2013-01,31732,
2013-04,31310,
2013-07,31143,
2013-10,31435,
2014-01,31591,
2014-04,31789,
2014-07,31739,
