"",BBK01.CEB7BQ,BBK01.CEB7BQ_FLAGS
"",Other liabilities  debtor: Insurance corporations                     creditor: All sectors    (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:51,
1991-01,28.2,
1991-04,28.1,
1991-07,29.2,
1991-10,29.1,
1992-01,30.5,
1992-04,31.1,
1992-07,31.6,
1992-10,31.5,
1993-01,33.0,
1993-04,34.0,
1993-07,34.7,
1993-10,34.4,
1994-01,35.0,
1994-04,36.5,
1994-07,37.2,
1994-10,38.5,
1995-01,38.2,
1995-04,38.7,
1995-07,39.4,
1995-10,39.8,
1996-01,41.7,
1996-04,42.4,
1996-07,43.0,
1996-10,43.5,
1997-01,45.4,
1997-04,46.0,
1997-07,46.7,
1997-10,51.2,
1998-01,53.3,
1998-04,54.3,
1998-07,55.1,
1998-10,56.0,
1999-01,68.0,
1999-04,68.8,
1999-07,70.0,
1999-10,80.1,
2000-01,82.7,
2000-04,83.7,
2000-07,84.7,
2000-10,83.0,
2001-01,85.6,
2001-04,86.6,
2001-07,88.8,
2001-10,96.5,
2002-01,101.3,
2002-04,102.3,
2002-07,103.8,
2002-10,113.5,
2003-01,115.3,
2003-04,116.9,
2003-07,118.1,
2003-10,111.3,
2004-01,113.5,
2004-04,113.7,
2004-07,114.7,
2004-10,103.8,
2005-01,106.3,
2005-04,106.9,
2005-07,108.8,
2005-10,103.3,
2006-01,102.8,
2006-04,102.0,
2006-07,101.6,
2006-10,103.0,
2007-01,102.7,
2007-04,102.1,
2007-07,101.6,
2007-10,97.2,
2008-01,94.7,
2008-04,94.2,
2008-07,93.6,
2008-10,89.2,
2009-01,91.3,
2009-04,87.6,
2009-07,87.3,
2009-10,82.8,
2010-01,84.5,
2010-04,83.1,
2010-07,81.9,
2010-10,82.3,
2011-01,83.2,
2011-04,83.7,
2011-07,84.4,
2011-10,83.1,
2012-01,83.9,
2012-04,84.2,
2012-07,84.4,
2012-10,84.4,
2013-01,86.7,
2013-04,84.7,
2013-07,84.7,
2013-10,84.8,
2014-01,87.1,
