"",BBEX3.M.IDR.EUR.CA.AC.A01,BBEX3.M.IDR.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Indonesia / EUR 1 = IDR ... (middle),
unit,IDR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:55,
1999-01,10216.450,
1999-02,9637.070,
1999-03,9297.315,
1999-04,8779.555,
1999-05,8471.365,
1999-06,6943.930,
1999-07,7363.475,
1999-08,7937.975,
1999-09,8921.035,
1999-10,7263.985,
1999-11,7497.405,
1999-12,7147.590,
2000-01,7272.055,
2000-02,7275.735,
2000-03,7275.035,
2000-04,7231.150,
2000-05,8025.230,
2000-06,8320.110,
2000-07,8315.635,
2000-08,7407.965,
2000-09,7729.480,
2000-10,7902.160,
2000-11,8177.230,
2000-12,8911.845,
2001-01,8757.805,
2001-02,9016.250,
2001-03,9156.695,
2001-04,10406.535,
2001-05,9462.900,
2001-06,9672.530,
2001-07,8335.815,
2001-08,8136.750,
2001-09,8848.285,
2001-10,9460.905,
2001-11,9247.775,
2001-12,9188.420,
2002-01,8903.595,
2002-02,8812.980,
2002-03,8433.170,
2002-04,8421.685,
2002-05,8231.570,
2002-06,8628.755,
2002-07,8970.490,
2002-08,8729.130,
2002-09,8862.210,
2002-10,9117.135,
2002-11,8915.420,
2002-12,9369.575,
2003-01,9601.625,
2003-02,9569.770,
2003-03,9633.570,
2003-04,9653.115,
2003-05,9722.875,
2003-06,9475.970,
2003-07,9640.850,
2003-08,9295.905,
2003-09,9758.515,
2003-10,9875.455,
2003-11,10162.885,
2003-12,10643.055,
2004-01,10476.980,
2004-02,10513.145,
2004-03,10486.885,
2004-04,10368.525,
2004-05,11310.040,
2004-06,11384.155,
2004-07,11042.400,
2004-08,11265.435,
2004-09,11301.575,
2004-10,11582.030,
2004-11,11951.110,
2004-12,12652.060,
2005-01,11936.505,
2005-02,12296.830,
2005-03,12249.115,
2005-04,12362.060,
2005-05,11767.635,
2005-06,11732.830,
2005-07,11915.850,
2005-08,12525.065,
2005-09,12419.440,
2005-10,12176.120,
2005-11,11821.235,
2005-12,11659.870,
2006-01,11360.915,
2006-02,10932.475,
2006-03,10892.730,
2006-04,10989.385,
2006-05,11858.315,
2006-06,11822.165,
2006-07,11567.435,
2006-08,11676.220,
2006-09,11731.695,
2006-10,11584.740,
2006-11,12068.015,
2006-12,11858.150,
2007-01,11771.105,
2007-02,12106.325,
2007-03,12154.300,
2007-04,12392.400,
2007-05,11855.130,
2007-06,12163.605,
2007-07,12599.065,
2007-08,12862.535,
2007-09,12938.000,
2007-10,13142.925,
2007-11,13829.610,
2007-12,13759.755,
2008-01,13789.245,
2008-02,13738.975,
2008-03,14558.720,
2008-04,14372.260,
2008-05,14460.145,
2008-06,14563.050,
2008-07,14212.230,
2008-08,13495.190,
2008-09,13751.435,
2008-10,14082.960,
2008-11,15680.270,
2008-12,15432.395,
2009-01,14653.065,
2009-02,15234.375,
2009-03,15327.055,
2009-04,14250.980,
2009-05,14457.910,
2009-06,14432.090,
2009-07,14003.580,
2009-08,14389.320,
2009-09,14158.470,
2009-10,14169.085,
2009-11,14266.465,
2009-12,13509.685,
2010-01,13058.090,
2010-02,12596.190,
2010-03,12216.385,
2010-04,11927.845,
2010-05,11308.390,
2010-06,11086.715,
2010-07,11695.345,
2010-08,11434.610,
2010-09,12138.880,
2010-10,12411.710,
2010-11,11849.855,
2010-12,11955.790,
2011-01,12319.335,
2011-02,12102.960,
2011-03,12316.705,
2011-04,12715.670,
2011-05,12278.345,
2011-06,12461.780,
2011-07,12161.335,
2011-08,12359.185,
2011-09,11956.060,
2011-10,12418.925,
2011-11,12238.295,
2011-12,11738.985,
2012-01,11852.560,
2012-02,12245.225,
2012-03,12258.975,
2012-04,12168.950,
2012-05,11832.865,
2012-06,11801.190,
2012-07,11638.575,
2012-08,11964.820,
2012-09,12407.360,
2012-10,12464.890,
2012-11,12488.430,
2012-12,12809.860,
2013-01,13153.885,
2013-02,12708.245,
2013-03,12423.310,
2013-04,12729.505,
2013-05,12783.775,
2013-06,12977.215,
2013-07,13634.285,
2013-08,14470.485,
2013-09,15671.165,
2013-10,15427.665,
2013-11,16310.290,
2013-12,16821.440,
2014-01,16688.495,
2014-02,15945.565,
2014-03,15674.230,
2014-04,15922.235,
2014-05,15794.450,
2014-06,16332.905,
2014-07,15608.445,
2014-08,15444.180,
2014-09,15494.590,
2014-10,15222.120,
2014-11,15197.440,
2014-12,15133.265,
2015-01,14306.655,
2015-02,14412.350,
"","Source: Calculated on the basis of the buying and selling rates of the Bank Indonesia, Jakarta.",
