"",BBK01.CEH4X0,BBK01.CEH4X0_FLAGS
"",Loans debtor: Other financial intermediaries                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:09,
1991-01,1.2,
1991-04,2.2,
1991-07,-0.2,
1991-10,-0.4,
1992-01,0.3,
1992-04,1.5,
1992-07,2.2,
1992-10,2.1,
1993-01,0.7,
1993-04,1.0,
1993-07,-0.9,
1993-10,1.7,
1994-01,3.9,
1994-04,0.6,
1994-07,0.6,
1994-10,0.6,
1995-01,3.7,
1995-04,2.0,
1995-07,-1.0,
1995-10,2.5,
1996-01,3.2,
1996-04,0.3,
1996-07,0.5,
1996-10,8.2,
1997-01,3.5,
1997-04,6.5,
1997-07,-3.3,
1997-10,2.5,
1998-01,6.9,
1998-04,15.0,
1998-07,-8.0,
1998-10,2.8,
1999-01,0.8,
1999-04,15.0,
1999-07,-8.4,
1999-10,10.6,
2000-01,30.9,
2000-04,16.5,
2000-07,-6.3,
2000-10,45.4,
2001-01,24.9,
2001-04,-2.1,
2001-07,16.4,
2001-10,-8.8,
2002-01,-3.1,
2002-04,11.4,
2002-07,4.9,
2002-10,8.3,
2003-01,14.9,
2003-04,3.4,
2003-07,10.8,
2003-10,-23.8,
2004-01,-15.9,
2004-04,-5.8,
2004-07,-5.0,
2004-10,-13.8,
2005-01,6.5,
2005-04,7.7,
2005-07,21.9,
2005-10,-2.0,
2006-01,40.2,
2006-04,18.6,
2006-07,14.3,
2006-10,-20.6,
2007-01,32.7,
2007-04,15.5,
2007-07,7.9,
2007-10,-27.6,
2008-01,45.0,
2008-04,15.2,
2008-07,1.4,
2008-10,24.0,
2009-01,27.3,
2009-04,18.1,
2009-07,-3.4,
2009-10,19.3,
2010-01,-16.5,
2010-04,42.0,
2010-07,3.4,
2010-10,11.8,
2011-01,6.8,
2011-04,43.0,
2011-07,52.9,
2011-10,-28.3,
2012-01,35.9,
2012-04,37.8,
2012-07,-18.7,
2012-10,-21.5,
2013-01,35.6,
2013-04,53.0,
2013-07,-41.3,
2013-10,-17.9,
2014-01,16.3,
