"",BBFN1.M.DE.N.1.L.W00200.S1P.F0.S.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W00200.S1P.F0.S.N000.Z01.BGA.X001.D_FLAGS
1975-11,.,No value available
1975-12,1.804,
1976-01,.,No value available
1976-02,.,No value available
1976-03,.,No value available
1976-04,.,No value available
1976-05,.,No value available
1976-06,.,No value available
1976-07,.,No value available
1976-08,.,No value available
1976-09,.,No value available
1976-10,.,No value available
1976-11,.,No value available
1976-12,2.798,
1977-01,.,No value available
1977-02,.,No value available
1977-03,.,No value available
1977-04,.,No value available
1977-05,.,No value available
1977-06,.,No value available
1977-07,.,No value available
1977-08,.,No value available
1977-09,.,No value available
1977-10,.,No value available
1977-11,.,No value available
1977-12,3.168,
1978-01,.,No value available
1978-02,.,No value available
1978-03,.,No value available
1978-04,.,No value available
1978-05,.,No value available
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,3.419,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,3.226,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,4.253,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,4.733,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,5.855,
1982-10,5.781,
1982-11,5.760,
1982-12,4.840,
1983-01,5.028,
1983-02,5.343,
1983-03,5.189,
1983-04,5.033,
1983-05,4.986,
1983-06,5.178,
1983-07,5.083,
1983-08,5.332,
1983-09,5.418,
1983-10,5.471,
1983-11,5.452,
1983-12,5.687,
1984-01,5.067,
1984-02,5.446,
1984-03,5.514,
1984-04,5.595,
1984-05,5.510,
1984-06,6.180,
1984-07,6.159,
1984-08,6.490,
1984-09,6.791,
1984-10,6.603,
1984-11,6.552,
1984-12,6.349,
1985-01,6.077,
1985-02,6.400,
1985-03,6.991,
1985-04,6.559,
1985-05,6.626,
1985-06,6.883,
1985-07,6.675,
1985-08,6.856,
1985-09,6.696,
1985-10,6.921,
1985-11,7.125,
1985-12,8.833,
1986-01,7.558,
1986-02,7.690,
1986-03,8.373,
1986-04,8.570,
1986-05,8.820,
1986-06,8.384,
1986-07,8.303,
1986-08,8.277,
1986-09,7.379,
1986-10,8.206,
1986-11,8.108,
1986-12,7.401,
1987-01,7.277,
1987-02,7.241,
1987-03,7.666,
1987-04,7.588,
1987-05,7.691,
1987-06,7.826,
1987-07,8.170,
1987-08,8.445,
1987-09,8.224,
1987-10,8.445,
1987-11,7.997,
1987-12,7.913,
1988-01,8.349,
1988-02,8.249,
1988-03,8.646,
1988-04,8.811,
1988-05,8.764,
1988-06,8.903,
1988-07,9.206,
1988-08,9.433,
1988-09,9.464,
1988-10,9.894,
1988-11,9.687,
1988-12,8.767,
1989-01,8.911,
1989-02,8.992,
1989-03,9.281,
1989-04,9.102,
1989-05,9.687,
1989-06,10.350,
1989-07,10.233,
1989-08,10.775,
1989-09,11.482,
1989-10,11.607,
1989-11,11.858,
1989-12,12.205,
1990-01,12.126,
1990-02,13.100,
1990-03,13.993,
1990-04,15.052,
1990-05,13.935,
1990-06,13.854,
1990-07,12.945,
1990-08,14.507,
1990-09,15.091,
1990-10,15.368,
1990-11,16.131,
1990-12,16.563,
1991-01,16.428,
1991-02,16.608,
1991-03,17.018,
1991-04,17.370,
1991-05,17.462,
1991-06,19.235,
1991-07,20.450,
1991-08,20.525,
1991-09,20.493,
1991-10,21.423,
1991-11,20.869,
1991-12,21.105,
1992-01,19.414,
1992-02,20.187,
1992-03,20.453,
1992-04,21.595,
1992-05,22.319,
1992-06,22.025,
1992-07,22.808,
1992-08,23.260,
1992-09,23.265,
1992-10,23.642,
1992-11,24.489,
1992-12,23.969,
1993-01,23.818,
1993-02,23.594,
1993-03,24.962,
1993-04,25.147,
1993-05,25.174,
1993-06,25.169,
1993-07,25.431,
1993-08,26.135,
1993-09,26.470,
1993-10,27.197,
1993-11,26.573,
1993-12,26.240,
1994-01,25.356,
1994-02,26.426,
1994-03,26.735,
1994-04,26.931,
1994-05,27.748,
1994-06,27.563,
1994-07,27.196,
1994-08,27.777,
1994-09,27.478,
1994-10,27.646,
1994-11,27.860,
1994-12,28.170,
1995-01,27.826,
1995-02,28.028,
1995-03,28.941,
1995-04,30.471,
1995-05,30.812,
1995-06,29.785,
1995-07,29.621,
1995-08,29.061,
1995-09,29.851,
1995-10,30.397,
1995-11,30.653,
1995-12,30.803,
1996-01,30.330,
1996-02,32.702,
1996-03,33.638,
1996-04,34.976,
1996-05,37.232,
1996-06,35.469,
1996-07,33.114,
1996-08,33.849,
1996-09,36.085,
1996-10,37.049,
1996-11,38.205,
1996-12,42.353,
1997-01,42.099,
1997-02,44.775,
1997-03,47.340,
1997-04,48.107,
1997-05,46.606,
1997-06,46.875,
1997-07,45.891,
1997-08,42.392,
1997-09,45.342,
1997-10,40.366,
1997-11,42.131,
1997-12,47.387,
1998-01,44.165,
1998-02,46.450,
1998-03,52.809,
1998-04,56.394,
1998-05,61.266,
1998-06,57.491,
1998-07,51.840,
1998-08,50.006,
1998-09,52.891,
1998-10,48.490,
1998-11,51.747,
1998-12,49.402,
1999-01,51.644,
1999-02,55.281,
1999-03,60.901,
1999-04,67.822,
1999-05,72.065,
1999-06,75.828,
1999-07,66.917,
1999-08,67.067,
1999-09,67.065,
1999-10,69.048,
1999-11,73.930,
1999-12,80.645,
2000-01,79.029,
2000-02,80.993,
2000-03,94.954,
2000-04,101.618,
2000-05,114.954,
2000-06,127.455,
2000-07,115.376,
2000-08,132.540,
2000-09,149.910,
2000-10,153.237,
2000-11,153.187,
2000-12,148.704,
2001-01,154.339,
2001-02,161.992,
2001-03,158.705,
2001-04,159.806,
2001-05,157.918,
2001-06,161.110,
2001-07,158.972,
2001-08,155.716,
2001-09,163.091,
2001-10,163.983,
2001-11,150.770,
2001-12,157.184,
2002-01,148.852,
2002-02,151.616,
2002-03,151.359,
2002-04,154.636,
2002-05,146.529,
2002-06,145.185,
2002-07,137.581,
2002-08,136.421,
2002-09,142.560,
2002-10,142.830,
2002-11,140.490,
2002-12,137.993,
2003-01,144.024,
2003-02,145.749,
2003-03,147.900,
2003-04,149.158,
2003-05,154.680,
2003-06,157.778,
2003-07,159.871,
2003-08,158.613,
2003-09,161.682,
2003-10,147.817,
2003-11,152.455,
2003-12,151.937,
2004-01,152.011,
2004-02,157.185,
2004-03,153.248,
2004-04,147.895,
2004-05,149.443,
2004-06,151.704,
2004-07,153.944,
2004-08,153.627,
2004-09,150.252,
2004-10,147.386,
2004-11,148.944,
2004-12,149.203,
2005-01,138.991,
2005-02,138.349,
2005-03,141.007,
2005-04,135.391,
2005-05,137.870,
2005-06,141.138,
2005-07,140.806,
2005-08,139.604,
2005-09,145.823,
2005-10,147.941,
2005-11,147.724,
2005-12,159.090,
2006-01,156.795,
2006-02,162.592,
2006-03,161.134,
2006-04,159.096,
2006-05,170.713,
2006-06,168.795,
2006-07,165.261,
2006-08,166.708,
2006-09,176.371,
2006-10,175.549,
2006-11,178.932,
2006-12,182.188,
2007-01,186.001,
2007-02,188.167,
2007-03,191.613,
2007-04,191.504,
2007-05,193.058,
2007-06,210.151,
2007-07,205.478,
2007-08,203.262,
2007-09,204.841,
2007-10,200.597,
2007-11,196.360,
2007-12,193.103,
2008-01,177.943,
2008-02,176.683,
2008-03,188.119,
2008-04,186.500,
2008-05,177.851,
2008-06,193.973,
2008-07,182.054,
2008-08,181.472,
2008-09,181.131,
2008-10,184.599,
2008-11,184.388,
2008-12,189.292,
2009-01,173.571,
2009-02,175.216,
2009-03,174.522,
2009-04,176.123,
2009-05,175.133,
2009-06,173.755,
2009-07,172.362,
2009-08,171.582,
2009-09,175.624,
2009-10,177.480,
2009-11,175.460,
2009-12,184.999,
2010-01,182.139,
2010-02,183.899,
2010-03,184.491,
2010-04,182.271,
2010-05,187.335,
2010-06,183.890,
2010-07,183.489,
2010-08,191.132,
2010-09,197.833,
2010-10,191.462,
2010-11,199.038,
2010-12,197.804,
2011-01,200.914,
2011-02,194.550,
2011-03,194.857,
2011-04,196.612,
2011-05,200.873,
2011-06,209.247,
2011-07,211.676,
2011-08,214.959,
2011-09,223.644,
2011-10,212.932,
2011-11,222.254,
2011-12,225.409,
2012-01,227.128,
2012-02,225.692,
2012-03,226.756,
2012-04,225.014,
2012-05,226.872,
2012-06,236.183,
2012-07,238.543,
2012-08,234.388,
2012-09,238.495,
2012-10,239.688,
2012-11,243.335,
2012-12,241.878,
2013-01,238.716,
2013-02,236.878,
2013-03,241.818,
2013-04,245.015,
2013-05,249.131,
2013-06,251.102,
2013-07,246.629,
2013-08,248.322,
2013-09,246.279,
2013-10,239.548,
2013-11,240.818,
2013-12,242.523,
2014-01,238.320,
2014-02,246.751,
2014-03,244.270,
2014-04,243.698,
2014-05,245.371,
2014-06,253.499,
2014-07,245.884,
2014-08,252.631,
2014-09,242.139,
2014-10,240.283,
2014-11,242.874,
2014-12,223.428,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
