"",BBDL1.A.DE1.N.UNE.UBA000.A0000.A01.D00.0.ABA.A,BBDL1.A.DE1.N.UNE.UBA000.A0000.A01.D00.0.ABA.A_FLAGS
"",Unemployment registered pursuant to section 16 Social Security Code III / West Germany / Social Security Code III and Social Security Code II / Absolute value / Unadjusted figure,
unit,Anzahl (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 10:05:09,
1950,1868504,
1951,1713887,
1952,1651915,
1953,1491000,
1954,1410717,
1955,1073576,
1956,876287,
1957,753711,
1958,763850,
1959,539942,
1960,270678,
1961,180855,
1962,154523,
1963,185646,
1964,169070,
1965,147352,
1966,161059,
1967,459489,
1968,323480,
1969,178579,
1970,148846,
1971,185072,
1972,246433,
1973,273498,
1974,582481,
1975,1074217,
1976,1060336,
1977,1029995,
1978,992948,
1979,876137,
1980,888900,
1981,1271574,
1982,1833244,
1983,2258235,
1984,2265559,
1985,2304014,
1986,2228004,
1987,2228788,
1988,2241556,
1989,2037781,
1990,1883147,
1991,1596457,
1992,1699273,
1993,2149465,
1994,2426276,
1995,2427083,
1996,2646442,
1997,2870021,
1998,2751535,
1999,2604720,
2000,2380987,
2001,2320500,
2002,2498392,
2003,2753181,
2004,2782759,
2005,3246755,
2006,3007158,
2007,2475528,
2008,2138778,
2009,2314215,
2010,2227473,
2011,2026545,
2012,1999918,
2013,2080342,
2014,2074553,
"",Source: Federal Employment Agency.,
"","Methodology: Western Germany (up to 1958 excluding Saarland and as of September 1990 excluding West Berlin). Up to and including December 2004 month-end figures, as of January 2005 mid-month figures. As of January 2004, unemployed persons excluding participants in aptitude testing and training measures. Early 2005 rise influenced by inclusion of recipients of social assistance who are able to work.",
