"",BBDL1.M.DE.N.EMP.EBA101.A0000.A00.D00.0.ABA.A,BBDL1.M.DE.N.EMP.EBA101.A0000.A00.D00.0.ABA.A_FLAGS
"",Persons working exclusively in low-paid part-time jobs / Germany / Total / Absolute value / Unadjusted figure,
unit,Anzahl (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 10:05:03,
2000-01,4227089,
2000-02,4288806,
2000-03,4339294,
2000-04,4368589,
2000-05,4392757,
2000-06,4396099,
2000-07,4376932,
2000-08,4329676,
2000-09,4307574,
2000-10,4318420,
2000-11,4360694,
2000-12,4328374,
2001-01,4237830,
2001-02,4241516,
2001-03,4250613,
2001-04,4264364,
2001-05,4283738,
2001-06,4255505,
2001-07,4226720,
2001-08,4175549,
2001-09,4177236,
2001-10,4225393,
2001-11,4296489,
2001-12,4293336,
2002-01,4221102,
2002-02,4244293,
2002-03,4263180,
2002-04,4280736,
2002-05,4302118,
2002-06,4290661,
2002-07,4267865,
2002-08,4208260,
2002-09,4206437,
2002-10,4228893,
2002-11,4279667,
2002-12,4274601,
2003-01,4221752,
2003-02,4247287,
2003-03,4239948,
2003-04,4201721,
2003-05,4288200,
2003-06,4397849,
2003-07,4438615,
2003-08,4417965,
2003-09,4427439,
2003-10,4484095,
2003-11,4550126,
2003-12,4594671,
2004-01,4612295,
2004-02,4680586,
2004-03,4760179,
2004-04,4838026,
2004-05,4892590,
2004-06,4923742,
2004-07,4925257,
2004-08,4886857,
2004-09,4876649,
2004-10,4888861,
2004-11,4951296,
2004-12,4942139,
2005-01,4820927,
2005-02,4821360,
2005-03,4822883,
2005-04,4816466,
2005-05,4827447,
2005-06,4846186,
2005-07,4853566,
2005-08,4841251,
2005-09,4861203,
2005-10,4900047,
2005-11,4954490,
2005-12,4965924,
2006-01,4879910,
2006-02,4876350,
2006-03,4891655,
2006-04,4911190,
2006-05,4951143,
2006-06,4976799,
2006-07,4965189,
2006-08,4917775,
2006-09,4899131,
2006-10,4904313,
2006-11,4970000,
2006-12,5013464,
2007-01,4926534,
2007-02,4920706,
2007-03,4930032,
2007-04,4956320,
2007-05,4988932,
2007-06,5014592,
2007-07,5016914,
2007-08,4977959,
2007-09,4962755,
2007-10,4988375,
2007-11,5025641,
2007-12,5039305,
2008-01,4972238,
2008-02,4967123,
2008-03,4988408,
2008-04,4995047,
2008-05,5012305,
2008-06,5026469,
2008-07,5023052,
2008-08,4963431,
2008-09,4955940,
2008-10,4978244,
2008-11,5013312,
2008-12,5018869,
2009-01,4969206,
2009-02,4985756,
2009-03,5018154,
2009-04,5053476,
2009-05,5071889,
2009-06,5088774,
2009-07,5093547,
2009-08,5044087,
2009-09,5028733,
2009-10,5035614,
2009-11,5078187,
2009-12,5083023,
2010-01,4968703,
2010-02,4957501,
2010-03,4994391,
2010-04,5029335,
2010-05,5058267,
2010-06,5078734,
2010-07,5078961,
2010-08,5020942,
2010-09,4997829,
2010-10,5008412,
2010-11,5043141,
2010-12,5043089,
2011-01,4977238,
2011-02,4982605,
2011-03,4992360,
2011-04,5014889,
2011-05,5042665,
2011-06,5065623,
2011-07,5067343,
2011-08,5008934,
2011-09,4980556,
2011-10,4981469,
2011-11,5016723,
2011-12,5021228,
2012-01,4943502,
2012-02,4908729,
2012-03,4935125,
2012-04,4964299,
2012-05,5001639,
2012-06,5032466,
2012-07,5037650,
2012-08,4986044,
2012-09,4957773,
2012-10,4971672,
2012-11,5009707,
2012-12,5017797,
2013-01,4961400,
2013-02,4962295,
2013-03,4969386,
2013-04,4994335,
2013-05,5035953,
2013-06,5066322,
2013-07,5085973,
2013-08,5030930,
2013-09,5002842,
2013-10,5010783,
2013-11,5048489,
2013-12,5047686,
2014-01,4977243,
2014-02,4976042,
2014-03,4989970,
2014-04,5029717,
2014-05,5060031,
2014-06,5086521,
2014-07,5100125,
2014-08,5045729,
2014-09,5021900,Estimated value
2014-10,5029700,Estimated value
2014-11,5039500,Estimated value
2014-12,5039200,Estimated value
"",Source: Federal Employment Agency.,
"",Methodology: Month-end figures.,
