"",BBAI3.Q.DE.N.V.LE.F4.SK.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.SK.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Death benefit funds / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:32,
2005-10,2,
2006-01,1,
2006-04,1,
2006-07,1,
2006-10,1,
2007-01,1,
2007-04,1,
2007-07,1,
2007-10,1,
2008-01,1,
2008-04,1,
2008-07,2,
2008-10,5,
2009-01,4,
2009-04,3,
2009-07,3,
2009-10,4,
2010-01,3,
2010-04,3,
2010-07,3,
2010-10,4,
2011-01,3,
2011-04,3,
2011-07,3,
2011-10,4,
2012-01,3,
2012-04,4,
2012-07,4,
2012-10,5,
2013-01,3,
2013-04,2,
2013-07,2,
2013-10,3,
2014-01,3,
2014-04,3,
2014-07,3,
