"",BBK01.CELR0I,BBK01.CELR0I_FLAGS
"",long-term time deposits                                      debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:19,
1999-01,2.4,
1999-04,-1.1,
1999-07,-0.4,
1999-10,2.7,
2000-01,-0.1,
2000-04,-1.3,
2000-07,-1.1,
2000-10,2.5,
2001-01,0.0,
2001-04,-0.8,
2001-07,-0.5,
2001-10,3.3,
2002-01,0.6,
2002-04,0.4,
2002-07,0.3,
2002-10,4.0,
2003-01,1.5,
2003-04,0.3,
2003-07,0.7,
2003-10,2.4,
2004-01,1.7,
2004-04,0.5,
2004-07,1.0,
2004-10,4.3,
2005-01,2.1,
2005-04,-1.7,
2005-07,0.2,
2005-10,2.9,
2006-01,1.4,
2006-04,0.2,
2006-07,0.0,
2006-10,2.3,
2007-01,0.0,
2007-04,-0.3,
2007-07,-1.4,
2007-10,1.7,
2008-01,-0.8,
2008-04,-1.6,
2008-07,-1.7,
2008-10,1.3,
2009-01,0.1,
2009-04,1.7,
2009-07,1.9,
2009-10,5.4,
2010-01,3.4,
2010-04,1.7,
2010-07,1.7,
2010-10,4.0,
2011-01,2.6,
2011-04,1.7,
2011-07,0.9,
2011-10,4.4,
2012-01,2.4,
2012-04,0.8,
2012-07,0.9,
2012-10,2.8,
2013-01,1.8,
2013-04,1.1,
2013-07,0.4,
2013-10,3.6,
2014-01,2.6,
2014-04,1.6,
2014-07,1.3,
