"",BBAI3.Q.DE.N.V.LE.F6.RV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F6.RV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Reinsurance companies / Insurance technical reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:40,
2005-10,154440,
2006-01,151719,
2006-04,148928,
2006-07,146070,
2006-10,143145,
2007-01,140152,
2007-04,137178,
2007-07,134192,
2007-10,131154,
2008-01,130145,
2008-04,129062,
2008-07,127880,
2008-10,126609,
2009-01,124823,
2009-04,123055,
2009-07,121250,
2009-10,119399,
2010-01,121077,
2010-04,122702,
2010-07,124306,
2010-10,125913,
2011-01,127669,
2011-04,129496,
2011-07,131334,
2011-10,133169,
2012-01,133715,
2012-04,134207,
2012-07,134670,
2012-10,135134,
2013-01,134706,
2013-04,134184,
2013-07,133600,
2013-10,132974,
2014-01,134649,
2014-04,135898,
2014-07,134735,
