"",2005-11-16,2005-12-16,2006-01-16,2006-02-16,2006-03-28,2006-06-16,2006-06-26,2006-07-03,2006-07-17,2006-08-16,2006-09-14,2006-10-16,2006-11-17,2006-12-15,2007-01-16,2007-02-16,2007-03-21,2007-04-16,2007-05-10,2007-06-15,2007-07-13,2007-08-16,2007-09-14,2007-10-15,2007-11-16,2007-12-14,2008-01-16,2008-02-15,2008-03-17,2008-04-14,2008-05-16,2008-06-19,2008-07-14,2008-08-15,2008-09-16,2008-10-16,2008-11-17,2008-12-16,2009-01-16,2009-02-16,2009-03-16,2010-03-04,2010-03-15,2010-04-16,2010-05-17,2010-06-15,2010-07-14,2010-08-16,2010-09-15,2010-10-15,2010-11-15,2010-12-14,2011-01-17,2011-02-14,2011-03-17,2011-04-15,2011-05-16,2011-06-15,2011-07-15,2011-08-15,2011-09-15,2011-10-17,2011-11-14,2011-12-15,2012-01-16,2012-02-14,2012-03-15,2012-04-16,2012-05-14,2012-06-15,2012-07-16,2012-08-15,2012-09-17,2012-10-15,2012-11-14,2012-12-17,2013-01-16,2013-02-15,2013-04-15,2013-05-15,2013-06-17,2013-07-15,2013-08-12,2013-09-16,2013-10-15,2013-11-15,2013-12-16,2014-01-16,2014-02-17,2014-03-17,2014-04-15,2014-05-15,2014-06-16,2014-07-15,2014-08-15,2014-09-15,2014-10-15,2014-11-17,2014-12-15,2015-01-16,2015-02-17
1991-06,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,149.78,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,163.05,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83,166.83
1991-07,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,147.16,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,160.21,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92,163.92
1991-08,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,146.28,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,159.25,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94,162.94
1991-09,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,145.39,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,158.28,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95,161.95
1991-10,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,143.37,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,156.08,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70,159.70
1991-11,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,142.35,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,154.97,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56,158.56
1991-12,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,140.23,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,152.66,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20,156.20
1992-01,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,135.93,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,147.99,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41
1992-02,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,135.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,147.30,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71,150.71
1992-03,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,134.83,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,146.78,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18,150.18
1992-04,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,133.65,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,145.50,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88,148.88
1992-05,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,132.94,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,144.73,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08,148.08
1992-06,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,132.58,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68,147.68
1992-07,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,131.92,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,143.62,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95,146.95
1992-08,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,131.65,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,143.32,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.64
1992-09,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,130.96,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,142.57,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88,145.88
1992-10,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,129.56,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,141.04,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31,144.31
1992-11,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,128.76,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,140.18,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43,143.43
1992-12,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,126.85,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,138.09,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29,141.29
1993-01,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,124.24,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,135.26,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39
1993-02,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,123.48,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,134.42,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54,137.54
