"",2005-11-16,2005-12-16,2006-01-16,2006-02-16,2006-03-28,2006-06-16,2006-06-26,2006-07-03,2006-07-17,2006-08-16,2006-09-14,2006-10-16,2006-11-17,2006-12-15,2007-01-16,2007-02-16,2007-03-21,2007-04-16,2007-05-10,2007-06-15,2007-07-13,2007-08-16,2007-09-14,2007-10-15,2007-11-16,2007-12-14,2008-01-16,2008-02-15,2008-03-17,2008-04-14,2008-05-16,2008-06-19,2008-07-14,2008-08-15,2008-09-16,2008-10-16,2008-11-17,2008-12-16,2009-01-16,2009-02-16,2009-03-16,2010-03-04,2010-03-15,2010-04-16,2010-05-17,2010-06-15,2010-07-14,2010-08-16,2010-09-15,2010-10-15,2010-11-15,2010-12-14,2011-01-17,2011-02-14,2011-03-17,2011-04-15,2011-05-16,2011-06-15,2011-07-15,2011-08-15,2011-09-15,2011-10-17,2011-11-14,2011-12-15,2012-01-16,2012-02-14,2012-03-15,2012-04-16,2012-05-14,2012-06-15,2012-07-16,2012-08-15,2012-09-17,2012-10-15,2012-11-14,2012-12-17,2013-01-16,2013-02-15,2013-04-15,2013-05-15,2013-06-17,2013-07-15,2013-08-12,2013-09-16,2013-10-15,2013-11-15,2013-12-16,2014-01-16,2014-02-17,2014-03-17,2014-04-15,2014-05-15,2014-06-16,2014-07-15,2014-08-15,2014-09-15,2014-10-15,2014-11-17,2014-12-15,2015-01-16,2015-02-17
1991-07,147.16,147.16,147.16,147.16,147.16,147.19,147.19,147.19,147.19,147.19,147.19,147.20,147.24,147.24,147.24,147.24,147.24,147.24,146.62,146.62,146.62,146.62,146.62,146.62,146.64,146.64,146.64,146.63,146.63,146.63,146.36,146.36,146.36,146.36,146.36,146.36,146.36,146.36,146.36,146.36,146.36,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57,163.57
1991-08,145.24,145.24,145.24,145.24,145.24,145.25,145.25,145.25,145.25,145.25,145.25,145.25,145.24,145.24,145.24,145.24,145.24,145.24,144.74,144.74,144.74,144.74,144.74,144.74,144.75,144.75,144.75,144.73,144.73,144.73,144.61,144.61,144.61,144.61,144.61,144.61,144.61,144.61,144.61,144.61,144.61,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,157.80,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61,161.61
1991-09,144.85,144.85,144.85,144.85,144.85,144.84,144.84,144.84,144.84,144.84,144.84,144.83,144.80,144.80,144.80,144.80,144.80,144.80,144.37,144.37,144.37,144.37,144.37,144.37,144.39,144.39,144.39,144.36,144.36,144.36,144.32,144.32,144.32,144.32,144.32,144.32,144.32,144.32,144.32,144.32,144.32,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,157.49,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30,161.30
1991-10,143.49,143.49,143.49,143.49,143.49,143.50,143.50,143.50,143.50,143.50,143.50,143.51,143.54,143.54,143.54,143.54,143.54,143.54,143.11,143.11,143.11,143.11,143.11,143.11,143.14,143.14,143.14,143.14,143.14,143.14,142.90,142.90,142.90,142.90,142.90,142.90,142.90,142.90,142.90,142.90,142.90,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,155.94,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71,159.71
1991-11,143.69,143.69,143.69,143.69,143.69,143.68,143.68,143.68,143.68,143.68,143.68,143.68,143.65,143.65,143.65,143.65,143.65,143.65,143.33,143.33,143.33,143.33,143.33,143.33,143.35,143.35,143.35,143.32,143.32,143.32,143.31,143.31,143.31,143.31,143.31,143.31,143.31,143.31,143.31,143.31,143.31,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,156.38,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16,160.16
1991-12,141.68,141.68,141.68,141.68,141.68,141.42,141.42,141.42,141.42,141.42,141.42,141.40,141.40,141.40,141.40,141.40,141.40,141.40,141.07,141.07,141.07,141.07,141.08,141.08,140.84,140.84,140.84,140.76,140.76,140.76,140.62,140.62,140.62,140.62,140.62,140.62,140.62,140.62,140.62,140.62,140.62,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,153.45,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16,157.16
1992-01,142.45,142.45,142.45,142.45,142.45,142.46,142.46,142.46,142.46,142.46,142.46,142.48,142.50,142.50,142.50,142.50,142.50,142.50,142.28,142.28,142.28,142.28,142.29,142.29,142.32,142.32,142.32,142.32,142.32,142.32,142.08,142.08,142.08,142.08,142.08,142.08,142.08,142.08,142.08,142.08,142.08,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,155.04,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79,158.79
1992-02,142.11,142.11,142.11,142.11,142.11,142.20,142.20,142.20,142.20,142.20,142.20,142.20,142.18,142.18,142.18,142.18,142.18,142.18,142.01,142.01,142.01,142.01,142.01,142.01,142.03,142.03,142.03,142.01,142.01,142.01,141.96,141.96,141.96,141.96,141.96,141.96,141.96,141.96,141.96,141.96,141.96,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,154.91,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65,158.65
1992-03,141.01,141.01,141.01,141.01,141.01,141.01,141.01,141.01,141.01,141.01,141.01,140.99,140.98,140.98,140.98,140.98,140.98,140.98,140.79,140.79,140.79,140.79,140.79,140.79,140.82,140.82,140.82,140.79,140.79,140.79,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,140.66,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,153.49,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20,157.20
1992-04,139.56,139.56,139.56,139.56,139.56,139.57,139.57,139.57,139.57,139.57,139.57,139.58,139.58,139.58,139.58,139.58,139.58,139.58,139.42,139.42,139.42,139.42,139.42,139.42,139.45,139.45,139.45,139.44,139.44,139.44,139.26,139.26,139.26,139.26,139.26,139.26,139.26,139.26,139.26,139.26,139.26,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,151.96,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63,155.63
1992-05,138.72,138.72,138.72,138.72,138.72,138.72,138.72,138.72,138.72,138.72,138.72,138.70,138.66,138.66,138.66,138.66,138.66,138.66,138.56,138.56,138.56,138.56,138.55,138.55,138.56,138.56,138.56,138.52,138.52,138.52,138.45,138.45,138.45,138.45,138.45,138.45,138.45,138.45,138.45,138.45,138.45,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,151.08,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73,154.73
1992-06,136.53,136.53,136.53,136.53,136.53,136.53,136.53,136.53,136.53,136.53,136.53,136.53,136.51,136.51,136.51,136.51,136.51,136.51,136.41,136.41,136.41,136.41,136.41,136.41,136.42,136.42,136.42,136.41,136.41,136.41,136.32,136.32,136.32,136.32,136.32,136.32,136.32,136.32,136.32,136.32,136.32,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,148.76,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36,152.36
1992-07,134.59,134.59,134.59,134.59,134.59,134.61,134.61,134.61,134.61,134.61,134.61,134.63,134.66,134.66,134.66,134.66,134.66,134.66,134.57,134.57,134.57,134.57,134.57,134.57,134.58,134.58,134.58,134.58,134.58,134.58,134.33,134.33,134.33,134.33,134.33,134.33,134.33,134.33,134.33,134.33,134.33,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,146.58,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12,150.12
1992-08,135.29,135.29,135.29,135.29,135.29,135.28,135.28,135.28,135.28,135.28,135.28,135.26,135.22,135.21,135.21,135.21,135.21,135.21,135.21,135.21,135.21,135.21,135.21,135.21,135.22,135.22,135.22,135.19,135.19,135.19,135.19,135.19,135.19,135.19,135.19,135.19,135.19,135.19,135.19,135.19,135.19,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,147.52,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09,151.09
1992-09,133.43,133.43,133.43,133.43,133.43,133.44,133.44,133.44,133.44,133.44,133.44,133.45,133.47,133.47,133.47,133.47,133.47,133.47,133.42,133.42,133.42,133.42,133.42,133.42,133.44,133.44,133.44,133.44,133.44,133.44,133.25,133.25,133.25,133.25,133.25,133.25,133.25,133.25,133.25,133.25,133.25,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,145.41,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92,148.92
1992-10,132.83,132.83,132.83,132.83,132.83,132.84,132.84,132.84,132.84,132.84,132.84,132.86,132.89,132.89,132.89,132.89,132.89,132.89,132.85,132.85,132.85,132.85,132.85,132.85,132.88,132.88,132.88,132.87,132.87,132.87,132.64,132.64,132.64,132.64,132.64,132.64,132.64,132.64,132.64,132.64,132.64,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,144.74,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24,148.24
1992-11,130.80,130.80,130.80,130.80,130.80,130.80,130.80,130.80,130.80,130.80,130.80,130.79,130.80,130.80,130.80,130.80,130.80,130.80,130.77,130.77,130.77,130.77,130.77,130.77,130.79,130.79,130.79,130.77,130.77,130.77,130.67,130.67,130.67,130.67,130.67,130.67,130.67,130.67,130.67,130.67,130.67,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,142.59,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04,146.04
1992-12,129.43,129.43,129.43,129.43,129.43,129.49,129.49,129.49,129.49,129.49,129.49,129.50,129.50,129.50,129.50,129.50,129.50,129.50,129.47,129.47,129.47,129.47,129.47,129.47,129.27,129.27,129.27,129.56,129.56,129.56,129.42,129.42,129.42,129.42,129.42,129.42,129.42,129.42,129.42,129.42,129.42,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64,144.64
1993-01,127.66,127.66,127.66,127.66,127.66,127.63,127.63,127.63,127.63,127.63,127.63,127.62,127.55,127.55,127.55,127.55,127.55,127.55,127.63,127.63,127.63,127.63,127.63,127.63,127.64,127.64,127.64,127.60,127.60,127.60,127.67,127.67,127.67,127.67,127.67,127.67,127.67,127.67,127.67,127.67,127.67,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,139.32,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69,142.69
1993-02,124.63,124.63,124.63,124.63,124.63,124.60,124.60,124.60,124.60,124.60,124.60,124.60,124.60,124.60,124.60,124.60,124.60,124.60,124.58,124.58,124.58,124.58,124.59,124.59,124.61,124.61,124.61,124.60,124.60,124.60,124.44,124.44,124.44,124.44,124.44,124.44,124.44,124.44,124.44,124.44,124.44,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,135.79,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07,139.07
1993-03,123.97,123.97,123.97,123.97,123.97,123.99,123.99,123.99,123.99,123.99,123.99,123.98,124.04,124.04,124.04,124.04,124.04,124.04,124.03,124.03,124.03,124.03,124.04,124.04,124.07,124.07,124.07,124.06,124.06,124.06,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,123.76,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,135.05,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31,138.31
