"",2005-11-16,2005-12-16,2006-01-16,2006-02-16,2006-03-28,2006-06-16,2006-06-26,2006-07-03,2006-07-17,2006-08-16,2006-09-14,2006-10-16,2006-11-17,2006-12-15,2007-01-16,2007-02-16,2007-03-21,2007-04-16,2007-05-10,2007-06-15,2007-07-13,2007-08-16,2007-09-14,2007-10-15,2007-11-16,2007-12-14,2008-01-16,2008-02-15,2008-03-17,2008-04-14,2008-05-16,2008-06-19,2008-07-14,2008-08-15,2008-09-16,2008-10-16,2008-11-17,2008-12-16,2009-01-16,2009-02-16,2009-03-16,2010-03-04,2010-03-15,2010-04-16,2010-05-17,2010-06-15,2010-07-14,2010-08-16,2010-09-15,2010-10-15,2010-11-15,2010-12-14,2011-01-17,2011-02-14,2011-03-17,2011-04-15,2011-05-16,2011-06-15,2011-07-15,2011-08-15,2011-09-15,2011-10-17,2011-11-14,2011-12-15,2012-01-16,2012-02-14,2012-03-15,2012-04-16,2012-05-14,2012-06-15,2012-07-16,2012-08-15,2012-09-17,2012-10-15,2012-11-14,2012-12-17,2013-01-16,2013-02-15,2013-04-15,2013-05-15,2013-06-17,2013-07-15,2013-08-12,2013-09-16,2013-10-15,2013-11-15,2013-12-16,2014-01-16,2014-02-17,2014-03-17,2014-04-15,2014-05-15,2014-06-16,2014-07-15,2014-08-15,2014-09-15,2014-10-15,2014-11-17,2014-12-15,2015-01-16,2015-02-17
1991-07,100.84,101.72,101.72,101.73,101.73,101.73,101.48,101.48,101.48,101.48,101.48,101.48,101.51,101.51,101.50,101.50,101.50,101.50,101.49,101.49,101.59,101.59,101.59,101.64,101.64,101.64,101.64,101.57,101.57,101.60,101.60,101.60,101.60,101.61,101.59,101.59,101.59,101.59,101.59,101.59,101.59,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45
1991-08,100.10,101.98,101.98,101.97,101.97,101.97,102.08,102.08,102.08,102.08,102.08,102.08,102.10,102.10,102.09,102.09,102.09,102.09,102.09,102.09,102.17,102.17,102.17,102.02,102.02,102.02,102.02,102.16,102.16,102.16,102.16,102.16,102.16,102.17,102.17,102.17,102.17,102.17,102.17,102.17,102.17,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99
1991-09,99.27,101.30,101.30,101.29,101.29,101.29,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.50,101.50,101.55,101.55,101.54,101.55,101.55,101.55,101.55,101.53,101.53,101.53,101.53,101.53,101.53,101.54,101.54,101.54,101.54,101.54,101.54,101.54,101.54,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40,94.40
1991-10,91.97,101.75,101.75,101.80,101.80,101.80,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.46,101.46,101.50,101.50,101.50,101.51,101.51,101.51,101.51,101.70,101.70,101.69,101.69,101.69,101.69,101.70,101.70,101.70,101.70,101.70,101.70,101.70,101.70,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56,94.56
1991-11,112.32,101.25,101.25,101.24,101.24,101.24,101.44,101.44,101.44,101.44,101.44,101.44,101.43,101.43,101.45,101.45,101.45,101.45,101.50,101.50,101.53,101.53,101.53,101.54,101.54,101.54,101.54,101.50,101.50,101.51,101.51,101.51,101.51,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39,94.39
1991-12,99.14,101.29,101.29,101.28,101.28,101.28,101.52,101.52,101.52,101.52,101.52,101.52,101.52,101.52,101.52,101.52,101.52,101.52,101.54,101.54,101.58,101.58,101.57,101.58,101.58,101.58,101.58,101.56,101.56,101.56,101.56,101.56,101.56,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43,94.43
1992-01,103.71,102.12,102.12,102.13,102.13,102.13,102.05,102.05,102.05,102.05,102.05,102.05,102.05,102.05,102.05,102.05,102.05,102.05,102.12,102.12,102.14,102.14,102.14,102.15,102.15,102.15,102.15,102.10,102.10,102.05,102.05,102.05,102.05,102.06,102.06,102.06,102.06,102.06,102.06,102.06,102.06,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,100.38,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89,94.89
1992-02,103.36,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.20,103.20,103.24,103.24,103.24,103.25,103.25,103.25,103.25,103.22,103.22,103.22,103.22,103.22,103.22,103.22,103.23,103.23,103.23,103.23,103.23,103.23,103.23,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,101.53,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97
1992-03,103.71,102.94,102.94,102.94,102.94,102.94,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.77,102.77,102.82,102.82,102.82,102.83,102.83,102.83,102.83,102.80,102.80,102.81,102.81,102.81,102.81,102.75,102.75,102.75,102.75,102.75,102.75,102.75,102.75,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,101.06,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53
1992-04,101.85,103.03,103.03,103.03,103.03,103.03,103.02,103.02,103.02,103.02,103.02,103.02,103.01,103.01,103.01,103.01,103.01,103.01,103.09,103.09,103.21,103.21,103.21,103.22,103.22,103.22,103.22,103.19,103.19,103.19,103.19,103.19,103.19,103.12,103.12,103.12,103.12,103.12,103.12,103.12,103.12,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,101.43,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88,95.88
1992-05,104.33,103.41,103.41,103.41,103.41,103.41,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.38,103.38,103.38,103.38,103.46,103.46,102.94,102.94,102.95,102.96,102.96,102.96,102.96,102.93,102.93,102.94,102.94,102.94,102.94,102.96,102.96,102.96,102.96,102.96,102.96,102.96,102.96,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,101.27,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73,95.73
1992-06,106.55,103.96,103.96,103.97,103.97,103.97,103.96,103.96,103.96,103.96,103.96,103.96,103.96,103.96,103.95,103.95,103.95,103.95,104.04,104.04,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.00,104.00,104.01,104.01,104.01,104.01,104.01,104.02,104.02,104.02,104.02,104.02,104.02,104.02,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71
1992-07,105.14,106.15,106.15,106.16,106.16,106.16,105.89,105.89,105.89,105.89,105.89,105.89,105.92,105.92,105.91,105.91,105.91,105.91,106.01,106.01,106.10,106.10,106.10,106.14,106.14,106.14,106.14,106.09,106.09,106.11,106.11,106.11,106.11,106.13,106.11,106.11,106.11,106.11,106.11,106.11,106.11,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66
1992-08,102.29,103.90,103.90,103.88,103.88,103.88,104.20,104.20,104.20,104.20,104.20,104.20,104.21,104.21,104.21,104.21,104.21,104.21,104.31,104.31,104.38,104.38,104.38,104.24,104.24,104.24,104.24,104.38,104.38,104.38,104.38,104.38,104.38,104.39,104.39,104.39,104.39,104.39,104.39,104.39,104.39,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06,97.06
1992-09,101.41,103.74,103.74,103.74,103.74,103.74,103.75,103.75,103.75,103.75,103.75,103.75,103.75,103.75,103.75,103.75,103.75,103.75,103.80,103.80,103.85,103.85,103.85,103.85,103.85,103.85,103.85,103.82,103.82,103.83,103.83,103.83,103.83,103.84,103.84,103.84,103.84,103.84,103.84,103.84,103.84,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,102.13,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54
1992-10,93.66,103.10,103.10,103.13,103.13,103.13,102.94,102.94,102.94,102.94,102.94,102.94,102.94,102.94,102.94,102.94,102.94,102.94,103.04,103.04,103.08,103.08,103.08,103.09,103.09,103.09,103.09,103.27,103.27,103.26,103.26,103.26,103.26,103.27,103.27,103.27,103.27,103.27,103.27,103.27,103.27,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,101.57,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01,96.01
1992-11,113.71,102.77,102.77,102.75,102.75,102.75,102.98,102.98,102.98,102.98,102.98,102.98,102.97,102.97,102.98,102.98,102.98,102.98,103.10,103.10,103.14,103.14,103.14,103.15,103.15,103.15,103.15,103.12,103.12,103.12,103.12,103.12,103.12,103.14,103.15,103.15,103.15,103.15,103.15,103.15,103.15,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,101.46,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91,95.91
1992-12,99.72,102.22,102.22,102.23,102.23,102.23,102.28,102.28,102.28,102.28,102.28,102.28,102.27,102.27,102.28,102.28,102.28,102.28,102.35,102.35,102.39,102.39,102.39,102.40,102.40,102.40,102.40,102.37,102.37,102.37,102.37,102.37,102.37,102.39,102.39,102.39,102.39,102.39,102.39,102.39,102.39,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,100.71,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20,95.20
1993-01,102.56,100.37,100.37,100.36,100.36,100.36,100.67,100.67,100.67,100.67,100.67,100.67,100.66,100.66,100.66,100.66,100.66,100.66,100.76,100.76,100.79,100.79,100.79,100.80,100.80,100.80,100.80,100.78,100.78,100.74,100.74,100.74,100.74,100.75,100.75,100.75,100.75,100.75,100.75,100.75,100.75,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,99.10,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68
1993-02,99.43,99.45,99.45,99.45,99.45,99.45,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.51,99.51,99.53,99.53,99.53,99.54,99.54,99.54,99.54,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52,92.52
1993-03,99.42,99.06,99.06,99.07,99.07,99.07,98.59,98.59,98.59,98.59,98.59,98.59,98.58,98.58,98.58,98.58,98.58,98.58,98.68,98.68,98.71,98.71,98.71,98.72,98.72,98.72,98.72,98.69,98.69,98.69,98.69,98.69,98.69,98.66,98.66,98.66,98.66,98.66,98.66,98.66,98.66,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73
