"",2005-11-04,2005-11-17,2005-12-06,2005-12-20,2006-01-05,2006-02-06,2006-03-07,2006-05-11,2006-06-29,2006-08-04,2006-09-06,2006-10-06,2006-11-06,2006-12-06,2007-01-08,2007-02-06,2007-03-07,2007-04-04,2007-05-07,2007-06-06,2007-07-06,2007-08-06,2007-09-06,2007-10-08,2007-11-06,2007-12-06,2008-01-08,2008-02-07,2008-03-06,2008-04-04,2008-05-07,2008-06-05,2008-07-04,2008-08-06,2008-09-04,2008-10-07,2008-11-06,2008-12-05,2009-01-08,2009-02-05,2009-03-11,2009-04-08,2009-05-07,2009-06-08,2009-07-07,2009-08-06,2009-09-07,2009-10-07,2009-11-06,2009-12-07,2010-01-07,2010-01-22,2010-02-04,2010-03-05,2010-04-07,2010-05-06,2010-06-07,2010-07-07,2010-08-05,2010-09-07,2010-10-06,2010-11-05,2010-12-07,2011-01-06,2011-02-07,2011-03-08,2011-04-06,2011-05-05,2011-06-07,2011-07-06,2011-08-04,2011-09-06,2011-10-06,2011-11-04,2011-12-06,2012-01-06,2012-02-06,2012-03-07,2012-04-04,2012-06-05,2012-07-05,2012-08-07,2012-09-06,2012-10-05,2012-11-06,2012-12-06,2013-01-08,2013-02-06,2013-03-07,2013-04-05,2013-05-07,2013-06-06,2013-07-05,2013-08-06,2013-09-05,2013-10-08,2013-11-07,2013-12-06,2014-01-08,2014-02-06,2014-03-06,2014-04-04,2014-05-07,2014-06-05,2014-07-04,2014-08-06,2014-09-04,2014-10-06,2014-11-06,2014-12-05,2015-01-08,2015-02-05
1991-07,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2
1991-08,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4,57.4
1991-09,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
1991-10,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6
1991-11,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2,60.2
1991-12,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
1992-01,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9
1992-02,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5
1992-03,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9
1992-04,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5
1992-05,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
1992-06,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3
1992-07,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2
1992-08,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1
1992-09,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1
1992-10,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7
1992-11,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,70.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3
