"",2006-03-30,2006-04-27,2006-05-31,2006-06-29,2006-08-01,2006-08-31,2006-09-28,2006-11-02,2006-11-30,2007-01-03,2007-01-31,2007-02-28,2007-03-29,2007-05-02,2007-05-31,2007-06-28,2007-07-31,2007-08-30,2007-09-27,2007-10-30,2007-11-29,2008-01-03,2008-01-31,2008-02-28,2008-04-01,2008-04-30,2008-05-29,2008-07-01,2008-07-31,2008-08-28,2008-09-30,2008-10-30,2008-11-27,2009-01-07,2009-01-29,2009-02-26,2009-03-31,2009-04-30,2009-05-28,2009-06-30,2009-07-30,2009-09-01,2009-09-30,2009-10-29,2009-12-01,2010-01-05,2010-01-28,2010-02-25,2010-03-31,2010-04-29,2010-06-01,2010-06-30,2010-07-29,2010-08-31,2010-09-30,2010-10-28,2010-11-30,2011-01-04,2011-02-01,2011-03-01,2011-03-31,2011-04-28,2011-05-31,2011-06-30,2011-07-28,2011-08-31,2011-09-29,2011-11-02,2011-11-30,2012-01-03,2012-01-31,2012-02-29,2012-03-29,2012-05-02,2012-05-31,2012-06-28,2012-07-31,2012-08-30,2012-09-27,2012-10-30,2012-11-29,2013-01-03,2013-01-31,2013-02-28,2013-03-28,2013-04-30,2013-05-29,2013-06-27,2013-07-31,2013-08-29,2013-10-01,2013-10-30,2013-11-28,2014-01-07,2014-01-30,2014-02-27,2014-04-01,2014-04-30,2014-05-28,2014-07-01,2014-07-31,2014-08-28,2014-09-30,2014-10-30,2014-11-27,2015-01-07,2015-01-29,2015-02-26
1999-12,27722,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27723,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27724,27676,27705,27676,27705,27705,27705,27705
2000-01,27780,27780,27780,27781,27781,27781,27781,27781,27781,27781,27781,27781,27781,27781,27781,27782,27782,27782,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27783,27783,27783,27783,27783,27783,27783,27783,27783,27783,27783,27783,27784,27784,27784,27784,27784,27784,27784,27784,27784,27784,27783,27784,27784,27784,27784,27711,27736,27711,27736,27736,27736,27736
2000-02,27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27814,27815,27815,27815,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27815,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27816,27815,27815,27815,27815,27758,27779,27758,27779,27779,27779,27779
2000-03,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27847,27847,27847,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27845,27845,27845,27846,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27793,27812,27793,27812,27812,27812,27812
2000-04,27838,27838,27838,27838,27838,27838,27838,27838,27838,27838,27838,27838,27838,27838,27837,27838,27838,27838,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27835,27835,27835,27836,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27836,27836,27836,27836,27793,27818,27793,27818,27818,27818,27818
2000-05,27879,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27879,27879,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27878,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27877,27849,27875,27849,27874,27874,27874,27874
2000-06,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27899,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27887,27910,27887,27910,27910,27910,27910
2000-07,27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27916,27917,27917,27916,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27918,27923,27945,27923,27945,27945,27945,27945
2000-08,27949,27948,27948,27948,27948,27947,27947,27947,27947,27947,27947,27947,27947,27947,27948,27948,27948,27948,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27947,27947,27947,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27963,27986,27963,27986,27986,27986,27986
2000-09,27933,27933,27933,27933,27933,27932,27932,27932,27932,27932,27932,27932,27932,27932,27933,27933,27934,27934,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27929,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27930,27931,27931,27931,27931,27931,27910,27935,27910,27935,27936,27936,27935
2000-10,27947,27947,27947,27947,27947,27947,27947,27946,27946,27946,27946,27946,27947,27947,27947,27940,27940,27940,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27943,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27945,27945,27945,27944,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27944,27944,27944,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27911,27936,27911,27936,27936,27936,27936
2000-11,27950,27950,27950,27950,27950,27950,27950,27950,27950,27950,27950,27949,27950,27950,27950,27951,27951,27951,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27949,27949,27949,27948,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27936,27962,27936,27962,27962,27962,27962
2000-12,27945,27946,27946,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27948,27948,27948,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27947,27948,27948,27948,27947,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27948,27971,27948,27971,27971,27971,27971
2001-01,27921,27921,27921,27922,27923,27923,27923,27923,27923,27923,27923,27923,27923,27923,27923,27923,27923,27923,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27924,27924,27924,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27924,27924,27924,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27925,27875,27898,27875,27898,27898,27898,27898
2001-02,27934,27934,27934,27935,27936,27936,27936,27936,27936,27936,27936,27936,27936,27936,27935,27936,27936,27936,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27938,27937,27937,27937,27938,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27937,27937,27937,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27935,27887,27913,27887,27913,27913,27913,27913
2001-03,27920,27921,27921,27921,27921,27922,27922,27922,27922,27922,27922,27922,27921,27921,27921,27921,27921,27921,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27922,27921,27922,27921,27921,27921,27921,27921,27921,27921,27921,27921,27921,27921,27921,27920,27920,27920,27921,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27920,27898,27923,27898,27923,27923,27923,27923
2001-04,27946,27946,27947,27946,27946,27946,27947,27947,27947,27947,27947,27947,27947,27947,27946,27947,27947,27946,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27945,27944,27944,27944,27945,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27944,27929,27954,27929,27954,27954,27954,27954
2001-05,27952,27951,27951,27950,27950,27950,27952,27952,27952,27952,27952,27952,27950,27950,27950,27950,27950,27950,27949,27950,27950,27950,27950,27950,27950,27950,27950,27950,27950,27950,27950,27950,27949,27950,27950,27950,27950,27950,27950,27950,27950,27950,27950,27950,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27949,27941,27964,27941,27964,27964,27964,27964
2001-06,27889,27889,27889,27888,27888,27888,27889,27888,27888,27889,27889,27889,27888,27888,27888,27889,27889,27888,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27888,27888,27888,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27888,27888,27888,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27889,27839,27864,27839,27864,27864,27864,27864
2001-07,27893,27892,27892,27891,27891,27891,27891,27891,27891,27891,27891,27891,27891,27891,27891,27891,27891,27891,27892,27893,27893,27893,27893,27893,27893,27893,27893,27893,27893,27893,27893,27893,27892,27893,27893,27893,27893,27893,27893,27893,27893,27893,27893,27893,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27893,27893,27893,27893,27893,27893,27893,27893,27893,27893,27893,27893,27892,27892,27892,27893,27893,27893,27893,27893,27893,27893,27893,27892,27892,27892,27892,27810,27838,27810,27838,27838,27838,27838
2001-08,27903,27902,27902,27902,27900,27900,27900,27900,27900,27900,27900,27900,27900,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27901,27902,27902,27902,27902,27902,27902,27902,27902,27902,27902,27902,27902,27901,27901,27901,27901,27902,27902,27901,27901,27901,27901,27902,27902,27902,27902,27902,27792,27818,27792,27818,27818,27818,27818
2001-09,27846,27845,27845,27845,27845,27844,27843,27843,27843,27843,27844,27844,27844,27844,27845,27846,27846,27846,27843,27843,27843,27843,27843,27843,27843,27843,27843,27843,27843,27843,27843,27843,27845,27843,27843,27843,27843,27843,27843,27843,27843,27843,27843,27843,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27845,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27846,27847,27847,27847,27846,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27847,27848,27848,27848,27848,27689,27720,27689,27720,27720,27720,27720
2001-10,27851,27851,27851,27851,27851,27850,27849,27849,27849,27849,27849,27849,27850,27850,27851,27847,27847,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27848,27850,27850,27850,27848,27850,27850,27850,27850,27850,27850,27850,27850,27850,27850,27850,27851,27850,27850,27850,27850,27850,27850,27850,27850,27850,27850,27850,27851,27851,27851,27851,27854,27882,27854,27882,27882,27882,27882
2001-11,27857,27858,27858,27858,27858,27858,27857,27857,27857,27857,27857,27857,27858,27858,27858,27859,27859,27860,27857,27856,27856,27857,27857,27857,27857,27857,27857,27857,27857,27857,27857,27857,27856,27857,27857,27857,27857,27857,27857,27857,27857,27857,27857,27857,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27856,27858,27858,27858,27856,27859,27859,27859,27859,27859,27859,27859,27859,27859,27859,27859,27859,27858,27858,27858,27859,27859,27859,27859,27859,27859,27859,27859,27859,27859,27859,27859,27853,27881,27853,27881,27881,27881,27881
2001-12,27832,27833,27834,27835,27835,27835,27834,27835,27835,27835,27834,27834,27835,27835,27835,27835,27835,27836,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27835,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27835,27835,27835,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27836,27850,27878,27850,27878,27878,27878,27878
2002-01,27827,27829,27829,27829,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27830,27831,27831,27831,27833,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27832,27831,27831,27831,27832,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27831,27891,27923,27891,27923,27923,27923,27923
