"",2005-11-18,2005-12-16,2006-01-24,2006-02-17,2006-03-29,2006-04-24,2006-05-19,2006-06-23,2006-07-14,2006-08-21,2006-09-15,2006-10-23,2006-11-17,2006-12-18,2007-01-22,2007-02-19,2007-03-26,2007-04-23,2007-05-21,2007-06-18,2007-07-20,2007-08-13,2007-08-20,2007-09-18,2007-10-19,2007-11-16,2007-12-17,2008-01-28,2008-02-18,2008-03-17,2008-04-21,2008-05-19,2008-06-23,2008-07-21,2008-08-18,2008-09-22,2008-10-20,2008-11-19,2009-01-19,2009-03-24,2009-04-20,2009-05-19,2009-06-20,2009-08-20,2009-09-21,2009-10-19,2009-11-19,2010-01-18,2010-02-18,2010-03-22,2010-08-19,2010-09-20,2010-10-18,2010-11-18,2011-01-17,2011-02-21,2011-03-21,2011-04-18,2011-05-20,2011-06-20,2011-07-18,2011-08-22,2011-09-19,2011-10-17,2011-11-21,2011-12-19,2012-01-23,2012-02-20,2012-03-19,2012-04-23,2012-05-23,2012-06-18,2012-07-23,2012-08-20,2012-09-24,2012-10-22,2012-11-19,2012-12-17,2013-01-21,2013-02-18,2013-03-18,2013-04-22,2013-05-21,2013-06-17,2013-07-22,2013-08-19,2013-09-23,2013-10-21,2013-11-18,2013-12-16,2014-01-27,2014-02-17,2014-03-24,2014-04-28,2014-05-19,2014-06-16,2014-07-21,2014-08-18,2014-09-22,2014-10-20,2014-11-17,2014-12-15,2015-01-19,2015-02-16
1990-07,,,,,,,,,,,,,,,,,,,,,86.850,86.850,86.850,86.840,86.840,86.840,86.840,86.840,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,86.920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-08,,,,,,,,,,,,,,,,,,,,,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,59.610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-09,,,,,,,,,,,,,,,,,,,,,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-10,,,,,,,,,,,,,,,,,,,,,59.740,59.740,59.740,59.740,59.740,59.740,59.740,59.740,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,59.690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-11,,,,,,,,,,,,,,,,,,,,,93.140,93.140,93.140,93.130,93.130,93.130,93.130,93.130,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-12,,,,,,,,,,,,,,,,,,,,,59.950,59.950,59.950,59.950,59.950,59.950,59.950,59.950,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,59.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01,60.090,60.090,60.090,60.090,60.090,60.090,60.090,60.090,60.090,60.090,60.090,60.090,60.090,60.090,60.09,60.090,60.090,60.110,60.110,60.110,60.110,60.110,60.110,60.110,60.110,60.110,60.060,60.060,60.060,60.060,60.060,60.070,60.070,60.070,60.070,60.070,60.070,60.070,59.760,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.750,59.760,59.760,59.760,59.760,59.760,59.760,59.760,59.760,59.760,59.760,59.730,59.730,54.010,54.010,53.960,53.970,53.960,53.960,53.960,53.970,53.980,53.980,53.980,53.980,53.980,53.980,53.980,53.980,53.980,53.990,53.990,53.840,54.020,54.020,53.960,54.050,54.050,54.050,54.050,54.050,54.050,54.050,54.070,54.030,54.040,54.030,54.030,54.030,47.970,47.970,47.970,47.970,47.970,47.990
1991-02,60.210,60.210,60.210,60.210,60.210,60.210,60.210,60.210,60.210,60.210,60.210,60.210,60.210,60.210,60.21,60.210,60.210,60.220,60.220,60.220,60.230,60.230,60.230,60.230,60.230,60.230,60.180,60.180,60.180,60.180,60.180,60.190,60.190,60.190,60.190,60.190,60.190,60.190,59.880,59.870,59.870,59.870,59.870,59.870,59.870,59.870,59.870,59.870,59.870,59.870,59.880,59.880,59.880,59.880,59.880,59.880,59.880,59.880,59.880,59.880,59.850,59.850,54.120,54.120,54.070,54.070,54.070,54.070,54.070,54.080,54.080,54.080,54.080,54.080,54.080,54.080,54.080,54.080,54.080,54.090,54.090,53.950,54.130,54.130,54.070,54.160,54.160,54.160,54.160,54.160,54.160,54.160,54.180,54.140,54.150,54.140,54.140,54.140,48.070,48.070,48.070,48.070,48.070,48.070
1991-03,60.300,60.300,60.300,60.300,60.300,60.300,60.300,60.300,60.300,60.300,60.300,60.300,60.300,60.300,60.30,60.300,60.300,60.320,60.320,60.320,60.320,60.320,60.320,60.320,60.320,60.320,60.270,60.270,60.270,60.270,60.270,60.280,60.280,60.280,60.280,60.280,60.280,60.280,59.970,59.960,59.960,59.960,59.960,59.960,59.960,59.960,59.960,59.960,59.960,59.960,59.970,59.970,59.970,59.970,59.970,59.970,59.970,59.970,59.970,59.970,59.940,59.940,54.200,54.200,54.150,54.150,54.140,54.140,54.140,54.150,54.160,54.160,54.160,54.160,54.160,54.160,54.160,54.160,54.160,54.160,54.160,54.020,54.200,54.200,54.140,54.180,54.180,54.180,54.180,54.180,54.180,54.180,54.200,54.160,54.160,54.160,54.160,54.160,48.090,48.090,48.090,48.090,48.090,48.090
1991-04,64.070,64.070,64.070,64.070,64.060,64.060,64.060,64.060,64.070,64.070,64.070,64.070,64.070,64.070,64.07,64.070,64.070,64.080,64.080,64.080,64.080,64.080,64.080,64.080,64.080,64.080,64.040,64.040,64.040,64.040,64.040,64.100,64.100,64.100,64.100,64.100,64.100,64.100,63.770,63.760,63.760,63.760,63.760,63.760,63.760,63.760,63.760,63.760,63.760,63.760,63.770,63.770,63.770,63.770,63.770,63.770,63.770,63.770,63.770,63.770,63.730,63.730,57.630,57.630,57.580,57.580,57.570,57.570,57.570,57.580,57.590,57.590,57.590,57.590,57.590,57.590,57.590,57.590,57.590,57.600,57.600,57.450,57.600,57.600,57.450,57.530,57.530,57.530,57.530,57.530,57.530,57.520,57.550,57.500,57.500,57.490,57.490,57.490,51.050,51.050,51.050,51.050,51.050,51.060
1991-05,64.310,64.310,64.310,64.310,64.310,64.310,64.310,64.310,64.310,64.310,64.310,64.310,64.310,64.310,64.31,64.310,64.310,64.320,64.320,64.320,64.330,64.330,64.330,64.320,64.320,64.320,64.280,64.280,64.280,64.280,64.290,64.340,64.340,64.340,64.340,64.340,64.340,64.340,64.010,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.000,64.010,64.010,64.010,64.010,64.010,64.010,64.010,64.010,64.010,64.010,63.970,63.970,57.850,57.850,57.800,57.800,57.790,57.790,57.790,57.800,57.810,57.810,57.800,57.800,57.810,57.810,57.810,57.800,57.800,57.810,57.810,57.660,57.810,57.810,57.670,57.740,57.740,57.740,57.740,57.740,57.740,57.740,57.760,57.710,57.710,57.700,57.700,57.700,51.240,51.240,51.240,51.240,51.240,51.240
1991-06,63.290,63.290,63.290,63.290,63.290,63.290,63.290,63.290,63.290,63.290,63.290,63.290,63.290,63.290,63.29,63.290,63.290,63.300,63.300,63.300,63.310,63.310,63.310,63.300,63.300,63.300,63.260,63.260,63.260,63.260,63.260,63.310,63.310,63.310,63.310,63.310,63.310,63.310,62.980,62.980,62.970,62.970,62.970,62.970,62.970,62.980,62.980,62.980,62.980,62.980,62.990,62.990,62.990,62.990,62.990,62.990,62.990,62.990,62.990,62.990,62.950,62.950,56.930,56.930,56.870,56.880,56.870,56.870,56.870,56.870,56.880,56.880,56.880,56.880,56.880,56.880,56.880,56.880,56.880,56.890,56.890,56.740,56.900,56.900,56.770,56.830,56.830,56.830,56.830,56.830,56.830,56.830,56.850,56.800,56.810,56.800,56.800,56.800,50.430,50.430,50.430,50.430,50.430,50.440
1991-07,92.720,92.720,92.720,92.720,92.710,92.710,92.710,92.710,92.710,92.720,92.720,92.720,92.710,92.710,92.71,92.710,92.710,92.740,92.740,92.740,92.750,92.750,92.750,92.740,92.740,92.740,92.760,92.760,92.760,92.760,92.740,92.860,92.860,92.860,92.860,92.860,92.860,92.860,92.370,92.330,92.330,92.330,92.330,92.330,92.330,92.330,92.330,92.330,92.330,92.330,92.350,92.350,92.360,92.360,92.360,92.360,92.360,92.360,92.360,92.360,92.280,92.280,83.450,83.450,83.370,83.340,83.260,83.260,83.260,83.270,83.290,83.290,83.290,83.290,83.290,83.290,83.290,83.290,83.290,83.310,83.310,83.090,83.230,83.230,82.830,83.050,83.050,83.050,83.050,83.050,83.050,83.030,83.060,82.900,82.870,82.860,82.860,82.860,73.580,73.580,73.580,73.580,73.570,73.660
1991-08,64.030,64.030,64.030,64.030,64.020,64.020,64.020,64.020,64.020,64.030,64.030,64.030,64.020,64.020,64.02,64.020,64.020,64.040,64.040,64.040,64.040,64.040,64.040,64.040,64.040,64.040,64.010,64.010,64.010,64.010,64.020,64.070,64.070,64.070,64.070,64.070,64.070,64.070,63.740,63.730,63.730,63.730,63.730,63.730,63.730,63.730,63.730,63.730,63.730,63.730,63.740,63.740,63.740,63.740,63.740,63.740,63.740,63.740,63.740,63.740,63.700,63.700,57.610,57.610,57.550,57.560,57.550,57.550,57.540,57.550,57.560,57.560,57.560,57.560,57.560,57.560,57.560,57.560,57.560,57.570,57.570,57.410,57.600,57.600,57.480,57.540,57.540,57.540,57.540,57.540,57.550,57.540,57.560,57.530,57.530,57.520,57.520,57.520,51.080,51.080,51.080,51.080,51.080,51.090
1991-09,64.090,64.090,64.090,64.090,64.090,64.090,64.090,64.090,64.090,64.090,64.090,64.090,64.090,64.090,64.09,64.090,64.090,64.100,64.100,64.100,64.110,64.110,64.110,64.100,64.100,64.100,64.080,64.080,64.080,64.080,64.080,64.130,64.130,64.130,64.130,64.130,64.130,64.130,63.800,63.790,63.790,63.790,63.790,63.790,63.790,63.790,63.790,63.790,63.790,63.790,63.800,63.800,63.800,63.800,63.800,63.800,63.800,63.800,63.800,63.800,63.770,63.770,57.660,57.670,57.610,57.610,57.610,57.610,57.610,57.610,57.620,57.620,57.620,57.620,57.620,57.620,57.620,57.620,57.620,57.630,57.630,57.470,57.660,57.660,57.540,57.600,57.600,57.600,57.600,57.600,57.610,57.600,57.620,57.590,57.590,57.580,57.580,57.580,51.130,51.130,51.130,51.130,51.130,51.140
1991-10,64.390,64.390,64.390,64.390,64.380,64.380,64.380,64.380,64.380,64.380,64.380,64.380,64.380,64.380,64.38,64.380,64.380,64.400,64.400,64.400,64.400,64.400,64.400,64.400,64.400,64.400,64.370,64.370,64.370,64.370,64.380,64.430,64.430,64.430,64.430,64.430,64.430,64.430,64.100,64.080,64.080,64.080,64.080,64.080,64.080,64.090,64.090,64.090,64.090,64.090,64.100,64.100,64.100,64.100,64.100,64.100,64.100,64.100,64.100,64.100,64.060,64.060,57.930,57.930,57.880,57.880,57.880,57.880,57.880,57.880,57.890,57.890,57.890,57.890,57.890,57.890,57.890,57.890,57.890,57.890,57.890,57.740,57.930,57.930,57.800,57.880,57.880,57.890,57.890,57.890,57.890,57.880,57.910,57.870,57.870,57.870,57.870,57.870,51.380,51.380,51.380,51.380,51.380,51.380
1991-11,103.340,103.340,103.340,103.340,103.330,103.330,103.330,103.330,103.330,103.340,103.340,103.340,103.330,103.330,103.33,103.340,103.340,103.360,103.360,103.360,103.370,103.370,103.370,103.360,103.360,103.360,103.390,103.390,103.390,103.390,103.410,103.520,103.520,103.520,103.520,103.520,103.520,103.520,103.000,102.950,102.950,102.950,102.950,102.950,102.950,102.950,102.950,102.950,102.950,102.950,102.960,102.960,102.960,102.960,102.960,102.970,102.970,102.970,102.970,102.970,102.910,102.910,93.070,93.070,92.980,92.990,92.960,92.960,92.950,92.940,92.950,92.950,92.950,92.950,92.950,92.950,92.950,92.950,92.950,92.960,92.960,92.720,93.270,93.270,93.010,92.940,92.940,92.940,92.940,92.940,92.940,92.950,92.980,93.010,93.010,93.010,93.010,93.010,82.580,82.580,82.580,82.580,82.580,82.660
1991-12,64.690,64.690,64.690,64.690,64.690,64.690,64.690,64.690,64.690,64.690,64.690,64.690,64.690,64.690,64.69,64.690,64.690,64.700,64.700,64.700,64.710,64.710,64.710,64.710,64.710,64.710,64.680,64.680,64.680,64.680,64.680,64.740,64.740,64.740,64.740,64.740,64.740,64.740,64.410,64.410,64.410,64.410,64.410,64.410,64.410,64.410,64.410,64.410,64.410,64.410,64.420,64.420,64.420,64.420,64.420,64.430,64.430,64.430,64.430,64.430,64.390,64.390,58.230,58.230,58.170,58.180,58.170,58.170,58.170,58.170,58.180,58.180,58.180,58.180,58.180,58.180,58.180,58.180,58.180,58.190,58.190,58.040,58.220,58.220,58.090,58.170,58.170,58.180,58.180,58.180,58.180,58.170,58.200,58.160,58.160,58.160,58.160,58.160,51.640,51.640,51.640,51.640,51.640,51.640
1992-01,65.160,65.160,65.160,65.160,65.150,65.150,65.150,65.150,65.150,65.150,65.150,65.150,65.150,65.150,65.15,65.150,65.150,65.170,65.170,65.170,65.170,65.170,65.170,65.170,65.170,65.170,65.180,65.180,65.180,65.180,65.190,65.200,65.200,65.200,65.200,65.200,65.200,65.200,64.870,64.880,64.870,64.870,64.870,64.870,64.870,64.880,64.870,64.880,64.880,64.880,64.890,64.890,64.890,64.890,64.890,64.890,64.890,64.890,64.890,64.890,64.850,64.850,58.650,58.650,58.590,58.600,58.590,58.590,58.590,58.590,58.590,58.590,58.590,58.590,58.590,58.590,58.590,58.590,58.590,58.600,58.600,58.450,58.630,58.630,58.480,58.580,58.580,58.580,58.580,58.580,58.580,58.580,58.600,58.560,58.560,58.560,58.560,58.560,52.000,52.000,52.000,51.990,51.990,52.000
1992-02,65.250,65.250,65.250,65.250,65.240,65.240,65.240,65.240,65.240,65.250,65.250,65.250,65.240,65.240,65.24,65.250,65.250,65.260,65.260,65.260,65.260,65.260,65.260,65.260,65.260,65.260,65.280,65.280,65.280,65.280,65.280,65.300,65.300,65.300,65.300,65.300,65.300,65.300,64.960,64.970,64.970,64.970,64.970,64.970,64.970,64.970,64.970,64.970,64.970,64.970,64.980,64.980,64.980,64.980,64.980,64.980,64.980,64.980,64.980,64.980,64.940,64.940,58.730,58.730,58.670,58.680,58.670,58.670,58.670,58.670,58.680,58.680,58.680,58.680,58.680,58.680,58.680,58.680,58.680,58.690,58.690,58.530,58.720,58.720,58.570,58.660,58.660,58.660,58.670,58.670,58.670,58.660,58.680,58.640,58.650,58.640,58.640,58.640,52.070,52.070,52.070,52.070,52.070,52.070
1992-03,65.320,65.320,65.320,65.320,65.310,65.310,65.310,65.310,65.310,65.310,65.310,65.310,65.310,65.310,65.31,65.310,65.310,65.330,65.330,65.330,65.330,65.330,65.330,65.330,65.330,65.330,65.340,65.340,65.340,65.340,65.350,65.360,65.360,65.360,65.360,65.360,65.360,65.360,65.030,65.030,65.030,65.030,65.030,65.030,65.030,65.030,65.030,65.030,65.030,65.030,65.040,65.040,65.050,65.050,65.050,65.050,65.050,65.050,65.050,65.050,65.010,65.010,58.790,58.790,58.730,58.740,58.730,58.730,58.730,58.730,58.740,58.740,58.740,58.740,58.740,58.740,58.740,58.740,58.740,58.740,58.740,58.590,58.770,58.770,58.630,58.670,58.670,58.680,58.680,58.680,58.680,58.670,58.700,58.660,58.660,58.650,58.650,58.650,52.080,52.080,52.080,52.080,52.080,52.080
1992-04,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.85,70.850,70.850,70.860,70.860,70.860,70.870,70.870,70.870,70.870,70.870,70.870,70.890,70.890,70.890,70.890,70.880,70.900,70.900,70.900,70.900,70.900,70.900,70.900,70.540,70.550,70.550,70.550,70.550,70.550,70.550,70.550,70.550,70.550,70.550,70.550,70.560,70.560,70.560,70.560,70.560,70.560,70.560,70.560,70.560,70.560,70.500,70.500,63.760,63.760,63.700,63.700,63.700,63.700,63.690,63.690,63.700,63.700,63.700,63.700,63.700,63.700,63.700,63.700,63.700,63.710,63.710,63.530,63.690,63.690,63.430,63.510,63.510,63.520,63.520,63.520,63.520,63.510,63.540,63.490,63.500,63.490,63.490,63.490,56.380,56.380,56.380,56.380,56.370,56.370
1992-05,71.120,71.120,71.120,71.120,71.120,71.120,71.120,71.120,71.120,71.120,71.120,71.120,71.120,71.120,71.12,71.120,71.120,71.140,71.140,71.140,71.140,71.140,71.140,71.140,71.140,71.140,71.160,71.160,71.160,71.160,71.150,71.180,71.180,71.180,71.180,71.180,71.180,71.180,70.810,70.820,70.820,70.820,70.820,70.820,70.820,70.820,70.820,70.820,70.820,70.820,70.830,70.830,70.830,70.830,70.830,70.840,70.840,70.840,70.840,70.840,70.780,70.780,64.000,64.010,63.940,63.950,63.940,63.940,63.940,63.940,63.940,63.940,63.940,63.940,63.940,63.940,63.940,63.940,63.940,63.950,63.950,63.780,63.930,63.930,63.670,63.750,63.750,63.750,63.750,63.750,63.760,63.750,63.780,63.730,63.740,63.730,63.730,63.730,56.590,56.590,56.590,56.590,56.590,56.590
1992-06,71.150,71.150,71.150,71.150,71.150,71.150,71.150,71.150,71.150,71.150,71.150,71.150,71.150,71.150,71.15,71.150,71.150,71.170,71.170,71.170,71.170,71.170,71.170,71.170,71.170,71.170,71.190,71.190,71.190,71.190,71.180,71.210,71.210,71.210,71.210,71.210,71.210,71.210,70.840,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.850,70.860,70.860,70.860,70.860,70.860,70.870,70.870,70.870,70.870,70.870,70.810,70.810,64.030,64.030,63.970,63.980,63.970,63.970,63.960,63.960,63.970,63.970,63.970,63.970,63.970,63.970,63.970,63.970,63.970,63.980,63.980,63.800,63.960,63.960,63.690,63.780,63.780,63.780,63.780,63.780,63.780,63.780,63.800,63.760,63.760,63.760,63.760,63.760,56.610,56.610,56.610,56.610,56.610,56.610
1992-07,105.160,105.160,105.160,105.160,105.160,105.160,105.160,105.160,105.160,105.160,105.160,105.160,105.160,105.160,105.16,105.160,105.160,105.180,105.180,105.180,105.190,105.190,105.190,105.180,105.180,105.180,105.330,105.330,105.330,105.330,105.300,105.360,105.360,105.360,105.360,105.360,105.360,105.360,104.800,104.820,104.820,104.820,104.820,104.820,104.820,104.820,104.820,104.820,104.820,104.820,104.840,104.840,104.840,104.840,104.840,104.850,104.840,104.840,104.840,104.840,104.730,104.720,94.700,94.710,94.620,94.550,94.470,94.470,94.470,94.480,94.500,94.500,94.500,94.500,94.500,94.500,94.500,94.500,94.500,94.520,94.520,94.260,94.350,94.350,93.690,93.980,93.980,93.980,93.980,93.980,93.990,93.960,93.990,93.810,93.790,93.770,93.770,93.770,83.270,83.270,83.270,83.270,83.260,83.340
1992-08,71.820,71.820,71.820,71.820,71.810,71.810,71.810,71.810,71.810,71.810,71.810,71.810,71.810,71.810,71.81,71.810,71.810,71.830,71.830,71.830,71.830,71.830,71.830,71.830,71.830,71.830,71.820,71.820,71.820,71.820,71.810,71.860,71.860,71.860,71.860,71.860,71.860,71.860,71.490,71.500,71.500,71.500,71.500,71.500,71.500,71.500,71.500,71.500,71.500,71.500,71.500,71.500,71.510,71.510,71.510,71.510,71.510,71.510,71.510,71.510,71.450,71.450,64.610,64.610,64.550,64.550,64.550,64.550,64.540,64.540,64.550,64.550,64.550,64.550,64.550,64.550,64.550,64.550,64.550,64.560,64.560,64.380,64.570,64.570,64.310,64.390,64.390,64.390,64.400,64.400,64.400,64.390,64.420,64.390,64.390,64.380,64.380,64.380,57.170,57.170,57.170,57.170,57.170,57.160
