"",2005-11-22,2005-12-22,2006-01-24,2006-02-20,2006-03-20,2006-04-24,2006-05-24,2006-06-21,2006-07-21,2006-08-22,2006-09-20,2006-10-20,2006-11-22,2006-12-20,2007-01-22,2007-02-23,2007-03-23,2007-04-23,2007-05-23,2007-06-21,2007-07-20,2007-08-21,2007-09-21,2007-10-23,2007-11-21,2007-12-19,2008-01-21,2008-02-20,2008-03-25,2008-04-21,2008-05-21,2008-06-25,2008-07-21,2008-08-22,2008-09-24,2008-10-21,2008-11-25,2008-12-19,2009-01-23,2009-02-25,2009-03-31,2009-04-24,2009-05-25,2009-06-25,2009-07-24,2009-08-25,2009-09-25,2009-10-23,2009-11-25,2009-12-21,2010-01-25,2010-02-25,2010-03-24,2010-04-23,2010-05-25,2010-06-25,2010-07-23,2010-08-25,2010-09-23,2010-10-22,2010-11-25,2010-12-21,2011-01-25,2011-02-24,2011-03-24,2011-04-21,2011-05-24,2011-06-21,2011-07-21,2011-08-25,2011-09-21,2011-10-25,2011-11-23,2011-12-20,2012-01-24,2012-02-22,2012-03-23,2012-04-23,2012-05-25,2012-06-25,2012-07-25,2012-08-24,2012-09-25,2012-10-25,2012-11-23,2012-12-21,2013-01-25,2013-02-25,2013-03-25,2013-04-25,2013-05-23,2013-06-25,2013-07-25,2013-08-23,2013-09-26,2013-10-25,2013-11-25,2013-12-20,2014-01-23,2014-02-24,2014-03-24,2014-04-25,2014-05-22,2014-06-25,2014-07-25,2014-08-25,2014-09-25,2014-10-23,2014-11-24,2014-12-19,2015-01-23,2015-02-25
1991-07,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1274668,1277358,1277358,1277358,1276378,1276378,1276378,1276378,1276378,1276378,1276749,1276749,1276749,1276747,1276744,1276385,1276385,1276385,1276385,1276385,1276385,1276385,1279175,1279175,1279175,1279175,1278462,1278462,1278462,1278462,1278462,1278462,1278462,1278462,1278462,1278462,1278462,1279059,1279059,1279059,1279059,1279059,1279059,1278647,1278647,1278647,1278647,1278647,1278647,1278647,1279288,1279288,1279288,1279288,1279277,1279277,1279277,1279277,1279888,1279888,1279888,1279888,1279888,1279888,1280016,1280016,1280016,1280016,1280016,1280016,1280039,1280039,1280039
1991-08,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1271632,1276454,1276454,1276454,1277084,1277084,1277084,1277084,1277084,1277084,1277454,1277454,1277454,1277451,1277450,1277089,1277089,1277089,1277089,1277089,1277089,1277089,1277638,1277638,1277638,1277638,1277262,1277262,1277262,1277262,1277262,1277262,1277262,1277262,1277262,1277262,1277262,1277465,1277465,1277465,1277465,1277465,1277465,1277972,1277972,1277972,1277972,1277972,1277972,1277972,1278615,1278615,1278615,1278615,1278594,1278594,1278594,1278594,1278779,1278779,1278779,1278779,1278779,1278779,1278910,1278910,1278910,1278910,1278910,1278910,1276628,1276628,1276628
1991-09,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1276576,1278576,1278576,1278576,1278571,1278571,1278571,1278571,1278571,1278571,1278856,1278856,1278856,1278855,1278854,1278575,1278575,1278575,1278575,1278575,1278575,1278575,1279524,1279524,1279524,1279524,1278721,1278721,1278721,1278721,1278721,1278721,1278721,1278721,1278721,1278721,1278721,1279341,1279341,1279341,1279341,1279341,1279341,1279949,1279949,1279949,1279949,1279949,1279949,1279949,1280455,1280455,1280455,1280455,1280390,1280390,1280390,1280390,1280384,1280384,1280384,1280384,1280384,1280384,1280474,1280474,1280474,1280474,1280474,1280474,1280382,1280382,1280382
1991-10,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1274943,1277802,1277802,1277802,1279767,1279767,1279767,1279767,1279767,1279767,1279970,1279970,1279970,1279968,1279968,1279771,1279771,1279771,1279771,1279771,1279771,1279771,1262869,1262869,1262869,1262869,1266913,1266913,1266913,1266913,1266913,1266913,1266913,1266913,1266913,1266913,1266913,1262471,1262471,1262471,1262471,1262471,1262471,1263906,1263906,1263906,1263906,1263906,1263906,1263906,1264877,1264877,1264877,1264877,1264912,1264912,1264912,1264912,1264523,1264523,1264523,1264523,1264523,1264523,1264916,1264916,1264916,1264916,1264916,1264916,1264761,1264761,1264761
1991-11,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1277857,1279911,1279911,1279911,1281009,1281009,1281009,1281009,1281009,1281009,1281214,1281214,1281214,1281213,1281210,1281013,1281013,1281013,1281013,1281013,1281013,1281013,1275828,1275828,1275828,1275828,1277004,1277004,1277004,1277004,1277004,1277004,1277004,1277004,1277004,1277004,1277004,1275704,1275704,1275704,1275704,1275704,1275704,1266723,1266723,1266723,1266723,1266723,1266723,1266723,1260260,1260260,1260260,1260260,1260282,1260282,1260282,1260282,1260865,1260865,1260865,1260865,1260865,1260865,1261250,1261250,1261250,1261250,1261250,1261250,1261144,1261144,1261144
1991-12,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1282945,1283648,1283648,1283648,1283304,1283304,1283304,1283304,1283304,1283304,1283507,1283507,1283507,1283506,1283504,1283307,1283307,1283307,1283307,1283307,1283307,1283307,1284247,1284247,1284247,1284247,1283697,1283697,1283697,1283697,1283697,1283697,1283697,1283697,1283697,1283697,1283697,1284216,1284216,1284216,1284216,1284216,1284216,1285467,1285467,1285467,1285467,1285467,1285467,1285467,1286141,1286141,1286141,1286141,1286131,1286131,1286131,1286131,1285737,1285737,1285737,1285737,1285737,1285737,1285876,1285876,1285876,1285876,1285876,1285876,1285843,1285843,1285843
1992-01,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285315,1285043,1285043,1285043,1284361,1284361,1284361,1284361,1284361,1284361,1284565,1284565,1284565,1284564,1284561,1284365,1284365,1284365,1284365,1284365,1284365,1284365,1289863,1289863,1289863,1289863,1288399,1288399,1288399,1288399,1288399,1288399,1288399,1288399,1288399,1288399,1288399,1289677,1289677,1289677,1289677,1289677,1289677,1289718,1289718,1289718,1289718,1289718,1289718,1289718,1289886,1289886,1289886,1289886,1290004,1290004,1290004,1290004,1287658,1287658,1287658,1287658,1287658,1287658,1288466,1288466,1288466,1288466,1288466,1288466,1288374,1288374,1288374
1992-02,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1288351,1285938,1285938,1285938,1288301,1288301,1288301,1288301,1288301,1288301,1288466,1288466,1288466,1288477,1288503,1288264,1288264,1288264,1288264,1288264,1288264,1288264,1291966,1291966,1291966,1291966,1291180,1291180,1291180,1291180,1291180,1291180,1291180,1291180,1291180,1291180,1291180,1292051,1292051,1292051,1292051,1292051,1292051,1292129,1292129,1292129,1292129,1292129,1292129,1292129,1293317,1293317,1293317,1293317,1293174,1293174,1293174,1293174,1293721,1293721,1293721,1293721,1293721,1293721,1293851,1293851,1293851,1293851,1293851,1293851,1293643,1293643,1293643
1992-03,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1304249,1300002,1300002,1300002,1299434,1299434,1299434,1299434,1299434,1299434,1297215,1297215,1297215,1297218,1297210,1299437,1299437,1299437,1299437,1299437,1299437,1299437,1301813,1301813,1301813,1301813,1300098,1300098,1300098,1300098,1300098,1300098,1300098,1300098,1300098,1300098,1300098,1301725,1301725,1301725,1301725,1301725,1301725,1306483,1306483,1306483,1306483,1306483,1306483,1306483,1306242,1306242,1306242,1306242,1306427,1306427,1306427,1306427,1305579,1305579,1305579,1305579,1305579,1305579,1303414,1303414,1303414,1303414,1303414,1303414,1305982,1305982,1305982
1992-04,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1300386,1296635,1296635,1296635,1295084,1295084,1295084,1295084,1295084,1295084,1295289,1295289,1295289,1295287,1295286,1295087,1295087,1295087,1295087,1295087,1295087,1295087,1296720,1296720,1296720,1296720,1297413,1297413,1297413,1297413,1297413,1297413,1297413,1297413,1297413,1297413,1297413,1296610,1296610,1296610,1296610,1296610,1296610,1298682,1298682,1298682,1298682,1298682,1298682,1298682,1299267,1299267,1299267,1299267,1299247,1299247,1299247,1299247,1299622,1299622,1299622,1299622,1299622,1299622,1299299,1299299,1299299,1299299,1299299,1299299,1299729,1299729,1299729
1992-05,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1302927,1300046,1300046,1300046,1298288,1298288,1298288,1298288,1298288,1298288,1298495,1298495,1298495,1298494,1298491,1298292,1298292,1298292,1298292,1298292,1298292,1298292,1301137,1301137,1301137,1301137,1301354,1301354,1301354,1301354,1301354,1301354,1301354,1301354,1301354,1301354,1301354,1302203,1302203,1302203,1302203,1302203,1302203,1301397,1301397,1301397,1301397,1301397,1301397,1301397,1302172,1302172,1302172,1302172,1302118,1302118,1302118,1302118,1302857,1302857,1302857,1302857,1302857,1302857,1302934,1302934,1302934,1302934,1302934,1302934,1302937,1302937,1302937
1992-06,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302293,1302937,1302937,1302937,1301902,1301902,1301902,1301902,1301902,1301902,1302108,1302108,1302108,1302107,1302104,1301905,1301905,1301905,1301905,1301905,1301905,1301905,1304188,1304188,1304188,1304188,1304321,1304321,1304321,1304321,1304321,1304321,1304321,1304321,1304321,1304321,1304321,1304201,1304201,1304201,1304201,1304201,1304201,1304131,1304131,1304131,1304131,1304131,1304131,1304131,1304842,1304842,1304842,1304842,1304808,1304808,1304808,1304808,1305630,1305630,1305630,1305630,1305630,1305630,1305752,1305752,1305752,1305752,1305752,1305752,1305750,1305750,1305750
1992-07,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1301374,1303148,1303148,1303148,1302412,1302412,1302412,1302412,1302412,1302412,1302619,1302619,1302619,1302617,1302616,1302416,1302416,1302416,1302416,1302416,1302416,1302416,1305062,1305062,1305062,1305062,1304513,1304513,1304513,1304513,1304513,1304513,1304513,1304513,1304513,1304513,1304513,1304998,1304998,1304998,1304998,1304998,1304998,1304208,1304208,1304208,1304208,1304208,1304208,1304208,1304794,1304794,1304794,1304794,1304788,1304788,1304788,1304788,1305259,1305259,1305259,1305259,1305259,1305259,1305409,1305409,1305409,1305409,1305409,1305409,1305407,1305407,1305407
1992-08,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1298859,1302529,1302529,1302529,1303497,1303497,1303497,1303497,1303497,1303497,1303701,1303701,1303701,1303701,1303700,1303499,1303499,1303499,1303499,1303499,1303499,1303499,1304004,1304004,1304004,1304004,1303455,1303455,1303455,1303455,1303455,1303455,1303455,1303455,1303455,1303455,1303455,1303888,1303888,1303888,1303888,1303888,1303888,1303723,1303723,1303723,1303723,1303723,1303723,1303723,1304321,1304321,1304321,1304321,1304310,1304310,1304310,1304310,1304414,1304414,1304414,1304414,1304414,1304414,1304575,1304575,1304575,1304575,1304575,1304575,1302450,1302450,1302450
1992-09,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1302797,1305062,1305062,1305062,1307042,1307042,1307042,1307042,1307042,1307042,1307143,1307143,1307143,1307143,1307143,1307042,1307042,1307042,1307042,1307042,1307042,1307042,1306201,1306201,1306201,1306201,1305298,1305298,1305298,1305298,1305298,1305298,1305298,1305298,1305298,1305298,1305298,1306080,1306080,1306080,1306080,1306080,1306080,1305879,1305879,1305879,1305879,1305879,1305879,1305879,1306319,1306319,1306319,1306319,1306248,1306248,1306248,1306248,1306265,1306265,1306265,1306265,1306265,1306265,1306385,1306385,1306385,1306385,1306385,1306385,1306283,1306283,1306283
1992-10,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1301187,1303715,1303715,1303715,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1306154,1289606,1289606,1289606,1289606,1293437,1293437,1293437,1293437,1293437,1293437,1293437,1293437,1293437,1293437,1293437,1289235,1289235,1289235,1289235,1289235,1289235,1291667,1291667,1291667,1291667,1291667,1291667,1291667,1292579,1292579,1292579,1292579,1292609,1292609,1292609,1292609,1292165,1292165,1292165,1292165,1292165,1292165,1292591,1292591,1292591,1292591,1292591,1292591,1292380,1292380,1292380
1992-11,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1305982,1307967,1307967,1307967,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1310362,1303627,1303627,1303627,1303627,1304523,1304523,1304523,1304523,1304523,1304523,1304523,1304523,1304523,1304523,1304523,1303538,1303538,1303538,1303538,1303538,1303538,1296189,1296189,1296189,1296189,1296189,1296189,1296189,1290100,1290100,1290100,1290100,1290120,1290120,1290120,1290120,1290600,1290600,1290600,1290600,1290600,1290600,1291003,1291003,1291003,1291003,1291003,1291003,1290862,1290862,1290862
